Rv0005	GO:0003918;GO:0006265;GO:0005524
Rv0013	GO:0006541;GO:0000162;GO:0004049
Rv0015c	GO:0006468;GO:0004674;GO:0005524
Rv2065	GO:0016993;GO:0009236
Rv0017c	GO:0051301;GO:0007047;GO:0016021;GO:0009252;GO:0005886;GO:0008360;GO:0007049
Rv0035	GO:0008152;GO:0016874
Rv0055	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0042c	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0043c	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0044c	GO:0016491;GO:0055114
Rv0045c	GO:0016787
Rv0046c	GO:0006021;GO:0004512;GO:0008654
Rv0051	GO:0016021
Rv0054	GO:0006260;GO:0003697;GO:0006281
Rv0056	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0058	GO:0003677;GO:0003678;GO:0006269;GO:0005658;GO:0004519;GO:0016539;GO:0006314;GO:0005524
Rv0067c	GO:0006350;GO:0003700;GO:0006355
Rv0063	GO:0055114;GO:0016491;GO:0050660
Rv0064	GO:0005886;GO:0016021
Rv0081	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0082	GO:0008137;GO:0055114;GO:0048038;GO:0051539
Rv0070c	GO:0004372;GO:0006544;GO:0006730;GO:0030170;GO:0006563
Rv0071	GO:0006278;GO:0003964;GO:0003723
Rv0072	GO:0005886;GO:0016021
Rv0074	GO:0016810
Rv0075	GO:0030170;GO:0008483;GO:0009058
Rv0084	GO:0016829;GO:0055114;GO:0016491;GO:0016021
Rv0085	GO:0005886;GO:0016021
Rv0086	GO:0008137;GO:0016021;GO:0042773
Rv0087	GO:0008137;GO:0008901;GO:0016151;GO:0055114;GO:0048038;GO:0051287
Rv0089	GO:0008168;GO:0008152
Rv0273c	GO:0006350;GO:0003700;GO:0006355
Rv0093c	GO:0005886;GO:0016021
Rv0097	GO:0055114;GO:0016702;GO:0046872
Rv0100	GO:0048037
Rv0103c	GO:0006754;GO:0004008;GO:0016021;GO:0046872;GO:0030001;GO:0005886;GO:0005524
Rv0104	GO:0003824;GO:0016021;GO:0008152;GO:0005886
Rv0105c	GO:0003735;GO:0006412;GO:0005840
Rv0130	GO:0006631;GO:0016491;GO:0004300
Rv0107c	GO:0006754;GO:0016021;GO:0015693;GO:0015444;GO:0046872;GO:0005886;GO:0005524
Rv0110	GO:0016021
Rv0111	GO:0016021;GO:0008415
Rv0112	GO:0044237;GO:0050662;GO:0016491;GO:0008446
Rv0581	GO:0006355;GO:0003677
Rv0115	GO:0016301;GO:0016310;GO:0005524
Rv0117	GO:0006350;GO:0003700;GO:0006355
Rv0131c	GO:0003995;GO:0055114;GO:0050660
Rv0145	GO:0008168
Rv0119	GO:0008152;GO:0016874
Rv0120c	GO:0003924;GO:0005525
Rv0121c	GO:0010181
Rv0123	GO:0006355;GO:0003677
Rv0128	GO:0016021
Rv0215c	GO:0003995;GO:0055114;GO:0050660
Rv0132c	GO:0016491;GO:0055114
Rv0133	GO:0008152;GO:0008080
Rv0134	GO:0016787
Rv0139	GO:0050662;GO:0055114;GO:0016491;GO:0044237
Rv0144	GO:0006350;GO:0003700;GO:0006355
Rv0146	GO:0008168
Rv0921	GO:0006310;GO:0000150;GO:0003677
Rv0148	GO:0055114;GO:0016491
Rv0148	GO:0055114;GO:0016491
Rv0149	GO:0055114;GO:0008270;GO:0003960
Rv0154c	GO:0003995;GO:0055114;GO:0050660
Rv0155	GO:0055114;GO:0008750
Rv0180c	GO:0016021
Rv1419	GO:0005529;GO:0016021
Rv0158	GO:0006355;GO:0006350;GO:0003700;GO:0016481
Rv0219	GO:0016021
Rv0461	GO:0016021
Rv0162c	GO:0055114;GO:0008270;GO:0004022
Rv0165c	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0182c	GO:0016987;GO:0003700;GO:0006352;GO:0006355
Rv0176	GO:0016021
Rv0183	GO:0016787
Rv0188	GO:0016021
Rv0186	GO:0005975;GO:0008422
Rv0187	GO:0008171
Rv0222	GO:0016853;GO:0008152;GO:0004300
Rv0191	GO:0005886;GO:0055085;GO:0016021
Rv0194	GO:0042626;GO:0016021;GO:0055085;GO:0005524
Rv0196	GO:0006350;GO:0003700;GO:0006355
Rv0198c	GO:0006508;GO:0004222
Rv0208c	GO:0006400;GO:0008176
