,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
2obut_c,0.013039117352056168,0.38619957060318644,3.6445912251038464e-05,0.0010630475747470777,0.03010074728057035,5.23450412273509e-05
pyr_c,0.058174523570712136,0.4007083038537263,0.007502508096272557,0.004210565274200068,0.0629150580929993,0.007326346586909464
2ahbut_c,0.0050150451354062184,0.3656440679729762,7.520716940732521e-06,0.0005769983819492599,0.017325230210280037,9.654769113869305e-06
actp_c,0.010030090270812437,0.34060205827566736,6.812064480590307e-06,0.001451770182787221,0.030739108298098318,7.686719179591894e-06
alac__S_c,0.004012036108324975,0.3738781923312505,0.0,0.0007201524698319175,0.020477395870498516,0.0
acorn_c,0.011033099297893681,0.29370757199133635,1.5704540132329008e-05,0.0008907644208934306,0.009784565457824378,2.2752965980238153e-05
orn_c,0.020060180541624874,0.393893536781384,0.0023738587788044285,0.001841702937102292,0.03940580035226767,0.002449740373028312
cit_c,0.009027081243731194,0.3318186241081,0.0009137679150859221,0.0007954090968801884,0.020375144394010867,0.0009157800950924829
icit_c,0.007021063189568706,0.2426318164310351,8.688914935896319e-05,0.00040088247073410694,0.0007046089088812858,9.446244588596978e-05
acg5sa_c,0.0160481444332999,0.3845507109563986,0.00025104847136093984,0.0016253350008304426,0.039026534810143565,0.00029049015592481323
fmn_c,0.013039117352056168,0.3063616397188542,0.0009453538157151366,0.0009827388526420723,0.010971122038099997,0.0009114559213422548
ribflv_c,0.006018054162487463,0.31407706264862006,0.000509127276471378,0.0005339978528388456,0.0087720952735703,0.0005294428846329142
apoACP_c,0.0030090270812437314,0.0,0.0,0.00017554014495052572,4.202114443533741e-30,0.0
pap_c,0.015045135406218655,0.37408071005818566,5.4053346428087835e-05,0.0012174363697385236,0.024505050054516676,6.471903996052747e-05
ppa_c,0.007021063189568706,0.3223192440143492,0.0018142764301937772,0.000994982117862066,0.009662383284148784,0.001813943695688327
ppcoa_c,0.025075225677031094,0.3933201837438565,0.0024755563118618084,0.002470707449925921,0.046566750141973895,0.0026026659657068384
acysbmn_c,0.004012036108324975,0.31486609868274584,0.0009063334582059431,0.0019835157318296042,0.00843294463570413,0.0009063334582059431
acysbmn_e,0.0020060180541624875,0.23357536752541044,0.0,0.0018906667239564365,0.0002916332030691176,0.0
adn_c,0.020060180541624874,0.3607623047156601,0.0007468776404639274,0.0019721465151467305,0.025644963352247963,0.0007199811488627933
cgly_c,0.004012036108324975,0.2790474694306672,3.3305608723230836e-06,0.00045240354307312,0.0032571603905156296,2.896430734160792e-06
2agpe160_c,0.00802407221664995,0.3135910633253727,2.008669288647992e-05,0.0003681970699725812,0.009187167179046392,2.922392821004318e-05
ins_c,0.014042126379137413,0.3904782749017766,0.0004269669298064929,0.0014279996146052756,0.03497818398380559,0.0005089149013655988
nh4_c,0.07221664994984955,0.4092038862675862,0.012996061847144242,0.006494455705876875,0.07246134127715562,0.01357727092494197
atp_c,0.31995987963891676,0.44321098889890015,0.08187494579419483,0.017489056566133875,0.1972646018982356,0.08045533526302451
cys__L_c,0.03510531594784353,0.3869369444850063,0.002698041315653575,0.0021556032480641515,0.03569472996343177,0.0030365707914301386
