,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
2AGPEAT160,0.23102040816326533,0.5286075949367088,0.0001260015899827891,0.0005849900870539522,0.013264132963591633,0.00013267970805214865
2AGPEAT180,0.23102040816326533,0.5286075949367088,0.00012579025882006667,0.0005848964237526986,0.013271179238518905,0.00013257261604583684
5DGLCNR,0.4979591836734694,0.6380611169652266,4.278402220238828e-05,0.001014471665547454,0.03589194421738703,4.251415955479942e-05
AACPS10,0.2383673469387755,0.5304599211563732,0.00037091530752274857,0.0006238397779478452,0.013281783991744695,0.00039121074066602506
AACPS11,0.23918367346938776,0.5311578947368422,0.000602027486394066,0.0006410688620733318,0.013219220430465011,0.000645839170614268
AACPS3,0.24571428571428572,0.5327936647602287,0.00038559281846643127,0.0006369208827574273,0.01381545870985602,0.0004056031536288373
ABTA,0.04979591836734694,0.4672222222222222,3.640261202667641e-06,0.0002579565752876804,0.0024389269752515823,3.863866804013641e-06
ACACT1r,0.12163265306122449,0.4834491017964072,1.9271177687772054e-05,0.00037869877402112715,0.006208766663584564,2.0452246163008316e-05
ACALD,0.5575510204081633,0.6672396694214877,0.0015162840824920784,0.0012012798195215602,0.037111145377355,0.0015084805637284545
ACBIPGT,0.5420408163265307,0.6588900979325354,0.00042959255790993355,0.0011234031690173973,0.03694324886689039,0.0004264952129904248
AGPAT160,0.026122448979591838,0.45391304347826084,2.787725756204233e-06,0.00019274895448858427,0.0012895792638116972,4.841548936534683e-06
ACCC_1,0.6244897959183674,0.7036839047065659,0.00044517463452573377,0.0012636641643031686,0.04106489332281517,0.0004455652761926704
AGPAT160190,0.02448979591836735,0.45357303370786517,1.6760196049157194e-06,0.00018955801731111217,0.0011958202314537884,3.7280205153061267e-06
AGPAT190,0.0236734693877551,0.45340321976787723,1.4612603253689937e-06,0.00018800011841908597,0.001133229858800079,3.513261235759401e-06
AGPR,0.5559183673469388,0.6639473684210526,0.0003338653757511301,0.0011367269857467071,0.03790144762510858,0.00033164070121281797
ACChex,0.6669387755102041,0.7273513513513513,0.0009072065183990519,0.0013645868270256109,0.041947492644286336,0.0008977059470047791
ACGAMPM,0.0032653061224489797,0.4478698224852071,1.0241763853633927e-08,0.00012923520613460372,0.00021210542478567647,1.0241763853633831e-08
AHCi,0.34775510204081633,0.5736807200378967,0.00017729621861446794,0.0007739528383130922,0.02233962448663459,0.0001804498943872562
CHLabc,0.6759183673469388,0.7299819168173599,0.001643562722327551,0.0014284213572898885,0.04221266091356897,0.001637079953951091
ACGAMT,0.0163265306122449,0.431435696473103,7.228929255233788e-06,0.000197810874892926,0.0007027603100760782,7.76479857412009e-06
CHOLD,0.5175510204081633,0.6476149732620321,0.00015598431745117905,0.0010590892526747611,0.03631558574614241,0.00015584880200264451
CHORM,0.005714285714285714,0.4265727368791828,2.065407653458174e-06,0.00016001700239893889,0.0001540265911385961,1.5309195842872862e-05
AHCYSNS,0.34448979591836737,0.5725957446808512,0.00014020851636183262,0.0007636253918307089,0.022038122330435044,0.00014368933466254164
ACGK,0.16163265306122448,0.5062876254180603,1.2319095077000377e-05,0.0004351646441410019,0.009691182464631954,1.3599809418310439e-05
AHMMPS,0.5502040816326531,0.6614090660841071,0.0009892892922547761,0.0011694054657133525,0.03777658689245713,0.0009785110230166932
AICART,0.013061224489795919,0.4485333333333334,9.010297018188024e-06,0.00016020776759977844,0.0007068670706433315,1.3699879622912158e-05
CHORS,0.14204081632653062,0.5022978017420159,0.0004065333798196798,0.00043789433683094186,0.008324089975161682,0.0004405823636621849
CHRPL,0.030204081632653063,0.45665158371040726,9.026202680926412e-05,0.00027171443841695426,0.0009927325209664023,0.0001567555707280522
ACGS,0.5689795918367347,0.6720532741398447,0.0012574836033878562,0.0012180247838103591,0.03718098146929969,0.0012673309885350159
CIGAMS,0.5746938775510204,0.6746740947075209,0.0008711744817437909,0.0012111946343121732,0.03767542615405953,0.0008637542750486299
CITL,0.017959183673469388,0.4518805970149254,1.385912982690714e-05,0.00018174865907227516,0.0009254411661310873,2.4188952219909493e-05
AIRCr,0.5053061224489797,0.6421208907741252,8.488518113112575e-05,0.0010317510940296214,0.03608041722630154,8.449917010292275e-05
ACHBS,0.5191836734693878,0.6483083511777302,0.0007257056135342914,0.0011059050122565644,0.03619677462950508,0.0007172485616117113
AKGDb,0.12081632653061225,0.4828708133971292,5.473202110790581e-05,0.0003892714497344694,0.006114750703948467,5.983016821808219e-05
ALAALAD,0.32816326530612244,0.5672318501170961,8.468953437880785e-05,0.0007331967710166982,0.0211916778370795,8.60128748115543e-05
ALAALAr,0.5926530612244898,0.6815081598199213,0.0005885639903062387,0.0012214437240366583,0.038850793009005645,0.000583204706895483
ALAD_L,0.6546938775510205,0.7204283164782869,0.0022805750180018595,0.0014076018177098765,0.04142282530146983,0.0022672814653151296
ALAR,0.013061224489795919,0.45596385542168677,2.4463995410255756e-06,0.00017209101838855384,0.0006687394430655323,3.4331490372356417e-06
