,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
2AGPEAT160,0.03425774877650897,3.6965881087084624e-30,5.637514764765652e+50,0.00042025212625415435,0.002011532054610551,4.613970840857017e-05
2AGPEAT180,0.033442088091353996,3.6965881087084624e-30,5.6193876420611405e+50,0.00042004367809516004,0.0031079761324180406,4.546958528589001e-05
5DGLCNR,0.0,0.0,0.0,0.00015462527305683135,0.0,0.0
AACPS10,0.04812398042414356,3.6965881087084624e-30,3.0973030416687194e+74,0.0022103358673365523,0.0010356066894625377,0.0007569675118936247
AACPS11,0.04649265905383361,3.6965881087084624e-30,3.0973038739477473e+74,0.002203467166092697,0.0010356066894625377,4.501370675591073e-05
AACPS3,0.05138662316476346,3.6965881087084624e-30,7.2325008884245165e+81,0.0022340029884489864,0.0022351480715640825,0.0006712422015372793
ABTA,0.030179445350734097,3.6965881087084624e-30,1.3003382329945812e+56,0.000502630203116175,2.30928338656065e-32,0.00013661313826312098
ACACT1r,0.08727569331158239,3.6965881087084624e-30,4.854477707661384e+74,0.001033122206911987,0.015543724284069164,0.00013816418676408654
ACALD,0.30179445350734097,3.6965881087084624e-30,1.3476017352047763e+71,0.001099550230301145,0.027854041613226414,0.004298567542860434
ACBIPGT,0.2936378466557912,3.712385493788412e-30,0.001594003412477698,0.00117475606169011,0.0455835520889039,0.0003429104104937244
AGPAT160,0.010603588907014683,3.6965881087084624e-30,8.74570962181832e-06,0.000286231868112605,4.3666058777903865e-32,4.741290062761734e-05
ACCC_1,0.5595432300163132,3.6965881087084624e-30,9.613201601479318e+94,0.0055914348346695125,0.060346488804812304,0.0003752720348470346
AGPAT160190,0.009787928221859707,3.6965881087084624e-30,4.429159330328268e-05,0.00027962511080650897,5.244273510281054e-32,4.551235139260791e-05
AGPAT190,0.008972267536704732,3.6965881087084624e-30,3.297413473278508e-07,0.00028193890445549484,6.183546646918332e-32,4.551235139260791e-05
AGPR,0.31239804241435565,3.6965881087084624e-30,4.038072963000104e+95,0.0011864924896431697,0.0455835520889039,6.950203677829006e-05
ACChex,0.5367047308319739,3.6965881087084624e-30,1.381945889256313e+112,0.0015565804711487152,0.05291697493365324,0.0004120929171896385
ACGAMPM,0.0016313213703099511,3.6965881087084624e-30,0.0,0.000158262846276137,1.270600389223136e-33,1.689692493666664e-06
AHCi,0.14763458401305057,3.6965881087084624e-30,3.168920176752015e+57,0.0009846598625507675,0.03441672202528391,0.001158882273053339
CHLabc,0.3523654159869494,3.6965881087084624e-30,7.056494302838547e+79,0.0008304930277664628,0.03397607783194435,0.00021210893921637226
ACGAMT,0.004078303425774878,3.6965881087084624e-30,1.4113790242640861e-06,0.00022457075752593304,5.212361833259573e-31,9.650125326620655e-05
CHOLD,0.22185970636215335,3.712385493788412e-30,0.0,0.0004031566676814586,0.021004275736256336,0.0
CHORM,0.002446982055464927,3.6965881087084624e-30,0.0,0.00016233389205396736,4.3400359956712975e-93,8.207494410612382e-06
AHCYSNS,0.14192495921696574,3.712385493788412e-30,0.0,0.0009846598625507675,0.03441672202528391,0.0
ACGK,0.02773246329526917,3.6965881087084624e-30,5.494211314063846e+47,0.0004502791827271145,0.000811990672509317,0.000775145710260205
AHMMPS,0.300163132137031,3.6965881087084624e-30,2.8850890262804494e+95,0.001072239886272335,0.0455835520889039,0.00020106356272563033
