,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
4abut[c],0.004098360655737705,0.37794615412763466,1.7264156608418903e-06,0.000449017089772473,0.017432462069403132,2.4520106487319598e-06
akg[c],0.08504098360655739,0.42414798860015107,0.009092250553274233,0.005875662287797063,0.08229552941052336,0.009099998906605792
glu__L[c],0.1168032786885246,0.437745287097157,0.0228465518855682,0.008677129301833128,0.10895347662353703,0.02260887605819477
sucsal[c],0.007172131147540984,0.3776090032318919,0.0001963247149617127,0.0006195669896929725,0.01711742626594012,0.0001784129045938105
h2o[c],0.5153688524590164,0.5063393452427641,0.22205296824050472,0.029553767208870423,0.25193884452783166,0.21687546130074875
agm[c],0.004098360655737705,0.3759322314591037,3.925719089653516e-06,0.0003523305522904239,0.013722796403363022,4.115875017514362e-06
ptrc[c],0.007172131147540984,0.3945011114845767,0.0014080449689770373,0.0006912720731825937,0.024119020045923454,0.0013334000168016562
urea[c],0.010245901639344263,0.3943173662067544,0.0006232160212431009,0.0008307787499704087,0.02755335593187841,0.000664866061382459
nad[c],0.16290983606557377,0.43616660754554437,0.0325575595597176,0.006599954932321814,0.09277756275311946,0.03245068789039647
ala__L[c],0.045081967213114756,0.3985872811892192,0.002392254763742336,0.002735756732044968,0.051862260735371125,0.0025073745824228852
h[c],0.8934426229508197,0.6280410869776718,0.4233525562118884,0.05923704877801008,0.4015026242839096,0.42011330480461434
nadh[c],0.16188524590163936,0.45467206511595143,0.02064883627587707,0.012281839924430084,0.1354620529730344,0.020985242452890844
pyr[c],0.06352459016393443,0.41642862038657236,0.007560968279526177,0.0042619645464858375,0.06386966448719608,0.007321571915242495
nh4[c],0.07377049180327869,0.42224408241690853,0.013296219965714945,0.006515877125574229,0.07118425254416892,0.01392550492967984
arg__L[c],0.013319672131147542,0.23290216925609394,0.0022942184013766066,0.000549995161534009,0.0003314742435686845,0.002283553242825784
co2[c],0.1721311475409836,0.46929012485914723,0.027005948333035698,0.014986037137855767,0.17212137861757806,0.026372518631929145
argsuc[c],0.005122950819672132,0.3099961132354088,0.0019096530139710874,0.00045309886471509844,0.009694522506397909,0.001910672306847171
fum[c],0.02766393442622951,0.40218498111444256,0.0037793435528748975,0.0024371536635410546,0.03862786228708266,0.003826315539338679
atp[c],0.3278688524590164,0.4603585564143021,0.08412853512363506,0.017470878902111256,0.1948017198463004,0.08298557199136203
asp__L[c],0.03586065573770492,0.4064327341554977,0.0016951002634719185,0.0017468973384913314,0.054207373501392826,0.0018286875117013582
citr__L[c],0.013319672131147542,0.40604287062153555,0.000576811989751515,0.001230406607940415,0.03485696231597061,0.0007341442937754414
amp[c],0.1280737704918033,0.44864832286481277,0.013431329527884176,0.010611272127940741,0.13059799516633894,0.01291071662666264
ppi[c],0.16598360655737707,0.4596087867784482,0.03430400603342395,0.015688474078585896,0.14448866887695966,0.03379218036152724
asn__L[c],0.015368852459016395,0.3985872811892192,4.479121709472906e-05,0.000827573991054288,0.03636761961687341,6.166954369903598e-05
gln__L[c],0.03381147540983607,0.3485382401177034,0.00639273550823783,0.000966294902428081,0.022505897150331113,0.006587599124115755
ala_B[c],0.010245901639344263,0.3760992382256338,0.0001279974228443664,0.0006410610520150325,0.02032360996059759,0.00018792785083768764
iasp[c],0.006147540983606557,0.29508518133353145,9.071273927370898e-05,0.0004237394769012373,0.0048503758851228245,0.0001337099792779153
succ[c],0.05327868852459017,0.4326006056443033,0.006552132966426972,0.005633264027576939,0.08509986908943823,0.006244031003442451
oaa[c],0.03073770491803279,0.40468421856878667,0.0014452410736594077,0.0025461092290848687,0.05328228849563913,0.0016071785691874447
f6p[c],0.023565573770491805,0.3376942103094941,0.0010054460442061755,0.0012671430396271502,0.01838536067023208,0.0010750100775817964
gam6p[c],0.010245901639344263,0.336218977460644,0.0010560547047016157,0.0006593604609843854,0.013741309583594643,0.0010818976977788454
adp[c],0.36065573770491804,0.5258381274819265,0.0465602730737384,0.03180063525811801,0.2688101148197712,0.04366080695791448
pi[c],0.39139344262295084,0.5385492272556626,0.07207848578299535,0.0360140001733444,0.2838542962826622,0.07020416208796748
cys__L[c],0.036885245901639344,0.39933933266316113,0.0026871267873342427,0.002019851520389763,0.035098517681115896,0.003056979556456115
glucys[c],0.00819672131147541,0.3187497685413786,0.00014367503345517289,0.00046279280419953564,0.011572387546605806,0.0002116660661742629
glu__D[c],0.007172131147540984,0.297888594386313,3.422321455108341e-05,0.0003128448514771974,0.0037209860300699543,7.566204287515763e-05
nadph[c],0.1403688524590164,0.42140337742454037,0.009356476221745031,0.004927453039224866,0.07447973799471216,0.010976784730144648
nadp[c],0.13217213114754098,0.4451100868800745,0.018270813417827467,0.010197309247055303,0.11831605658857752,0.018075847474470438
gthox[c],0.009221311475409836,0.3839452994312479,2.627154266498529e-07,0.0007496500125299453,0.02165919708141393,2.627154266498529e-07
gthrd[c],0.018442622950819672,0.4027589844176506,0.0018820292501441577,0.0013901310451321844,0.03992163258585749,0.001869263462706086
dnad[c],0.00819672131147541,0.3799817707566884,2.1201308870064893e-05,0.0005154935328679055,0.021079948617649787,1.9220398884980414e-05
5oxpro[c],0.013319672131147542,0.411369963676337,0.0005654521621846505,0.0015577642371358438,0.05167010883603224,0.000572067570786833
1pyr5c[c],0.009221311475409836,0.2858201840803179,3.8184270238837146e-05,0.0005732225640059691,0.003130457398687427,3.271444137222826e-05
glx[c],0.01639344262295082,0.33541972474084847,0.0008404873614733418,0.0008964380840569574,0.017230956738851246,0.0008973443501373595
