,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
ABTA,0.050121261115602264,0.46895690642807897,3.607120191953769e-06,0.0002552718670910797,0.0024121001977050866,3.839177243244757e-06
AGMT,0.33063864187550523,0.569120340606994,3.926312761175126e-06,0.0007189464642673912,0.02129987142520285,3.915157648299704e-06
ALAD_L,0.6588520614389652,0.7232641111557836,0.0020639651692936334,0.001387561096980248,0.04122478288487882,0.0020548465664175747
ARGDC,0.5101050929668552,0.6450630864791298,0.0006231103329930975,0.0010609662431003122,0.035825671408839625,0.0006236465499622818
ARGSL,0.014551333872271624,0.45704021373857623,2.1187679647435162e-05,0.0002088331481828093,0.000541498953879226,3.25300408713921e-05
ARGSS,0.570735650767987,0.6731093076303962,0.0007937352616620867,0.0011810629061235537,0.03722683645424748,0.0007941101830976017
ASNN,0.34599838318512527,0.5750068697529055,0.00016587225903725254,0.0007641489738967284,0.021939489031916292,0.00016769645598050525
ASNS1,0.6952303961196442,0.7412361284632909,0.0019921788210156164,0.0014490767966151132,0.0418600782766405,0.0019857024375210725
ASP1DC,0.5092966855295068,0.6443833571993836,0.00011159276508307786,0.001025830034142655,0.03581257257382196,0.00011111757473953683
ASPO5,0.5092966855295068,0.6437050589286474,0.001122211609534001,0.001086733133376873,0.035669863113289305,0.0010995693718970293
ASPTA,0.06305578011317704,0.47496683959783687,4.988832212155953e-05,0.0002855122831915466,0.0031228135241557113,5.457069863288755e-05
GF6PTA,0.050121261115602264,0.47039985075554996,0.00021890162622811648,0.00034022500666931857,0.0021751826020336017,0.00029570889765510617
GLNS,0.6216653193209377,0.6976837489814204,0.0015069965026703316,0.0013072938690396648,0.03894960347734725,0.001502131045204571
GLUCYS,0.6103476151980598,0.6905926662701468,0.0013104707056020043,0.0012835844804456032,0.03858052537130621,0.001304763208905993
GLUDC,0.5254648342764753,0.650899208070479,0.0006192935113410477,0.0010962029100403396,0.03587952798895394,0.000619116930247999
GLUDxi,0.6653193209377526,0.7267020867287166,0.0016535616957245882,0.0013818408564549001,0.04130564048047912,0.0016473427179255074
GLUR,0.043654001616814875,0.466452941252643,1.2416241368768847e-06,0.00024225184615500356,0.002044483025234301,1.2416241368768824e-06
GLUSy,0.5189975747776879,0.6474534737768289,0.0005467138607956684,0.0010816390083787032,0.03573559496851071,0.0005447876291588756
GTHOr,0.5012126111560226,0.6399997969463266,0.0004502067243704122,0.0010361171863461673,0.03554008122231182,0.00044443306939143725
NADS2,0.7210994341147938,0.7577692763100558,0.00241809605119419,0.0015079504742624452,0.04241089046632663,0.0024173989607808696
OPAH,0.692805173807599,0.7398908723317786,0.0017166381021633352,0.0014363546615753628,0.04198065067163587,0.0017056802861142176
P5CD,0.6596604688763136,0.7228366500971809,0.0012803723271499587,0.0013553502966388558,0.041269216219152166,0.0012759049069448337
SSALx,0.650767987065481,0.7185896662540717,0.0015817193207899646,0.001345748578272201,0.0412094298491648,0.0015737760231748802
