,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
ABTA,0.035569927243330635,1.2181554096671296e-29,3.3746292101753765e+44,0.0004877366572277885,3.5948477137922773e-32,3.9118767627785555e-05
AGMT,0.1301535974130962,1.2316904697745422e-29,0.0003849085307353413,0.0006732796361149908,0.04010480614577761,0.00038229299929624076
ALAD_L,0.36620856911883587,1.2181554096671296e-29,9.837707229706727e+119,0.0008096339712250219,0.035970852347942804,0.08953030846136559
ARGDC,0.3217461600646726,1.2316904697745422e-29,0.0,0.0011543012198525116,0.04259525227038527,0.0
ARGSL,0.01131770412287793,1.2181554096671296e-29,0.0015005740448513988,0.00012853565151325273,2.1471490449276843e-34,0.0015364663813769133
ARGSS,0.24171382376717865,1.2181554096671296e-29,1.6888580431456618e+115,0.0004074782631595733,0.0015531780394486506,0.0023587293196967872
ASNN,0.14632174616006466,1.2181554096671296e-29,6.621660082400803e+118,0.0005814032555258578,0.035970852347942804,0.0001309343630341411
ASNS1,0.3831851253031528,1.2181554096671296e-29,1.6909544537940925e+134,0.0007790312095979316,0.03752403038739145,9.75664326564972e-05
ASP1DC,0.322554567502021,1.2181554096671296e-29,6.210382931599378e+127,0.0011399172890107071,0.04259525227038527,9.114526715637998e-06
ASPO5,0.2231204527081649,1.2181554096671296e-29,3050831615.382414,0.00026848586921516014,1.0596534840206339e-32,7.58069281309667e-05
ASPTA,0.07841552142279709,1.2181554096671296e-29,2.560548018044064e+94,0.0006352912907164659,6.039891234830137e-31,0.002906802938861486
GF6PTA,0.026677445432497976,1.2181554096671296e-29,1.1322538681289928e+60,0.00019894718448322616,7.779534088010942e-33,6.752600989476833e-05
GLNS,0.31689571544058204,1.2181554096671296e-29,3.2018291917827017e+120,0.0025972696080694534,0.023884513898542722,0.006612938572228728
GLUCYS,0.28051738075990296,1.2181554096671296e-29,4.151505787561926e+110,0.0007408833786225888,0.0015531780394486506,9.437713636096728e-05
GLUDC,0.3314470493128537,1.2181554096671296e-29,4.024849060308617e+119,0.0013238142159641838,0.04259525227038527,1.1818613401161525e-05
GLUDxi,0.9660468876313661,1.2181554096671296e-29,1.9449661364725932e+122,0.00444581397363596,0.09391452872737285,0.27704602614240903
GLUR,0.0274858528698464,1.2181554096671296e-29,2.1037371715549313e+57,0.00039132219585942893,5.64982210243711e-31,5.33307792791278e-06
GLUSy,0.3565076798706548,1.2181554096671296e-29,2.2737304889259277e+121,0.0013425132865011499,0.04259525227038527,5.075877000804863e-05
GTHOr,0.2789005658852061,1.2181554096671296e-29,2.804083847191152e+47,0.0016258000360047415,0.01693707714468194,0.02380290983303452
NADS2,0.4470493128536782,1.2181554096671296e-29,4.560328505341615e+107,0.0008674719652845831,0.03752403038739145,0.00018964533778949506
OPAH,0.3904607922392886,1.2181554096671296e-29,8.424874427378033e+108,0.0007580644311451399,0.03752403038739145,0.00010701518962337384
