,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
10fthf_c,0.027442371020856202,0.38660911408840526,0.0012544391509464483,0.0024897029737642705,0.06320795868228965,0.0012664735152833801
12dgr160_c,0.006586169045005488,0.3021929202314311,1.0152764115321862e-05,0.0005536880579860935,0.008644967571158658,7.470168822263489e-06
13dpg_c,0.01756311745334797,0.3711112406092385,0.0001412945206427403,0.0017335790979543053,0.05283249389290443,0.00017122550369816123
1hdecg3p_c,0.005488474204171241,0.2655315310715714,7.740155928959442e-06,0.0004664430363191068,0.001873401408383428,9.247978512522967e-06
1msg3p_c,0.0043907793633369925,0.2655315310715714,2.573350542615087e-06,0.0004252093882070689,0.0018227248179414567,3.216688178268858e-06
1pyr5c_c,0.009879253567508232,0.2664610463495349,2.9267655271066858e-05,0.0007458129325961568,0.0035087927213490033,2.6189777326675554e-05
23dhba_c,0.003293084522502744,0.0,0.0,0.00020349454237595602,2.868289385833633e-28,0.0
23dhdp_c,0.0043907793633369925,0.2751290562910258,3.949268358020966e-06,0.0004661013221598061,0.004232393790697518,5.518239013613013e-06
23dhmb_c,0.005488474204171241,0.3545917961514773,0.0002489790065501408,0.000625601535126352,0.018609931389720464,0.0002817766886294407
23dhmp_c,0.005488474204171241,0.3545917961514773,0.00024869419561768995,0.0006833753379684882,0.01865149452135298,0.0002811735595960153
25aics_c,0.01756311745334797,0.3693107008973877,8.876891743916134e-05,0.001915715521953473,0.049755313950728006,8.807948852363572e-05
25dhpp_c,0.0043907793633369925,0.3020596782031103,2.0067913238860583e-06,0.00036968397284968464,0.009291179158133708,2.050638713646397e-06
25drapp_c,0.0043907793633369925,0.3020596782031103,2.0067913238860583e-06,0.00036968397284968464,0.009291179158133708,2.050638713646397e-06
26dap_DASH_LL_c,0.0043907793633369925,0.3016606561711379,0.0009534464803400039,0.0005092676600135789,0.008267451846902708,0.0009547532599124257
26dap_DASH_M_c,0.009879253567508232,0.22387952619759943,0.0009727466094096172,0.0006363900224654052,0.0002988044479299158,0.0009740533889820386
2agpe160_c,0.008781558726673985,0.30126268696774594,2.2038301793727864e-05,0.0004280046674057461,0.00889338164973239,3.234379963249338e-05
2agpe180_c,0.008781558726673985,0.30126268696774594,2.5568332753618726e-05,0.0005136822467626243,0.008892731600454794,3.441569146446048e-05
2ahbut_c,0.005488474204171241,0.35514326084222614,5.3211475721457515e-06,0.000619054476412689,0.018318613671773294,6.732315419786015e-06
2ahhmd_c,0.0043907793633369925,0.28869420571624704,0.0004728279199667461,0.00037160964204035053,0.007783984455315711,0.00047052106327627723
2ahhmp_c,0.0043907793633369925,0.2238063868554898,7.096100282551591e-06,0.0003051178937030761,0.0002997485746988379,4.981079937956211e-06
2c25dho_c,0.003293084522502744,0.0,0.0,0.00020349454237595602,2.868289385833633e-28,0.0
2cpr5p_c,0.0043907793633369925,0.2000792494639761,0.0009794218813092845,0.0005527280016742601,4.8881464334997774e-05,0.0009775178207875796
2dda7p_c,0.005488474204171241,0.30245975724708796,3.4386187749838374e-06,0.0006013258679665562,0.011158961913380061,6.031290334254109e-06
2dglcn_c,0.003293084522502744,0.0,0.0,0.00020349454237595602,2.868289385833633e-28,0.0
2dhp_c,0.005488474204171241,0.3019265536203853,2.656811677511066e-05,0.0005259571441262045,0.009226078502916336,4.179420931028267e-05
2dmmq6_c,0.005488474204171241,0.1997292566077709,7.0325164413293635e-06,0.00031222257450110117,4.593949730926871e-05,8.021616144557967e-06
2dmmq8_c,0.012074643249176729,0.2672927624520695,0.0002856503115356419,0.0007462211041072884,0.0023366823097374953,0.0002782517353468946
2dmmql8_c,0.006586169045005488,0.3553274637783476,0.00035020272472550116,0.0006880181656183826,0.019649141481214105,0.0004090561601818035
2dr1p_c,0.024149286498353458,0.31938058282734466,6.307946562649017e-05,0.0032755365014706635,0.017919172462607873,6.454749143317436e-05
2dr5p_c,0.0021953896816684962,0.0,0.0,0.00020349454237595602,2.868289385833633e-28,0.0
2ippm_c,0.006586169045005488,0.3011302638086392,1.780666670113118e-06,0.0007058283212936288,0.00871918593846706,2.1109516169889385e-06
2mahmp_c,0.0043907793633369925,0.28869420571624704,1.0600710773205677e-05,0.0005496102941981182,0.008239350512132036,7.4669528370328096e-06
2me4p_c,0.005488474204171241,0.3544083549739546,2.875659489205545e-06,0.0004737757961302051,0.018665179537744447,5.684955819657953e-06
2mecdp_c,0.003293084522502744,0.216794731064764,0.0002489853722998648,0.0004009993027359002,0.0003023318427951668,0.0002475460466678908
2mop_c,0.003293084522502744,0.0,0.0,0.00020349454237595602,2.868289385833633e-28,0.0
