,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
EX_acysbmn_b,0.0009009009009009009,0.20369153286127456,0.0,0.00042338595585426604,1.1918284257592036e-10,0.0
EX_ala_DASH_B_b,0.0009009009009009009,0.27239282213375476,0.0,0.00030308731774746696,1.2343198830900482e-07,0.0
EX_ala_DASH_D_b,0.0009009009009009009,0.27252730390227303,0.0,0.00030309074900800167,1.236734234833398e-07,0.0
EX_ala_DASH_L_b,0.0009009009009009009,0.27272927571840616,0.0,0.000303116357068672,1.2355112294503753e-07,0.0
EX_arab_DASH_D_b,0.0009009009009009009,0.2873524487527611,0.0,0.0003030790992315376,1.4413604522058834e-07,0.0
EX_arab_DASH_L_b,0.0009009009009009009,0.2874272606373622,0.0,0.00022977187580900082,2.6755339179069255e-07,0.0
EX_arg_DASH_L_b,0.0009009009009009009,0.22862044069333365,0.0,0.00033603653427891186,8.288534017597595e-10,0.0
EX_asn_DASH_L_b,0.0009009009009009009,0.27239282213375476,0.0,0.0003030836755329204,1.2354401258254437e-07,0.0
EX_asp_DASH_L_b,0.0009009009009009009,0.27259459459459456,0.0,0.00030308530169426243,1.2375176481660927e-07,0.0
EX_atp_b,0.0018018018018018018,0.3240411236008536,0.0,0.0002405615965898115,1.94207353578764e-05,0.0
EX_bmn_b,0.0009009009009009009,0.21428728806446198,0.0,0.0004232519937752389,2.193588445899398e-10,0.0
EX_ca2_b,0.0009009009009009009,0.2873524487527611,0.0,0.00022978561894069962,2.236352417276037e-07,0.0
EX_chol_b,0.0009009009009009009,0.28712824658208275,0.0,0.0003030358891400705,1.4413004815728626e-07,0.0
EX_cit_b,0.0009009009009009009,0.2873524487527611,0.0,0.0003030624615260544,1.4414143662507078e-07,0.0
EX_cl_b,0.0009009009009009009,0.0012012012012012011,0.0,0.000668312046724187,3.701639816727336e-21,0.0
EX_co2_b,0.0009009009009009009,0.2365562691467984,0.0,0.0003043660586187122,2.377218769941258e-08,0.0
EX_co_b,0.0009009009009009009,0.2203169243879681,0.0,0.0003738986357715282,4.954319963446646e-10,0.0
