,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
EX_acysbmn_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_ala_DASH_B_b,0.0009000900090009,3.540664310333464e-30,0.0,0.00038624521263035377,1.6768881947723097e-64,0.0
EX_ala_DASH_D_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003959667109078429,1.6768881437950015e-64,0.0
EX_ala_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003847585098656997,1.676887883533349e-64,0.0
EX_arab_DASH_D_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_arab_DASH_L_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_arg_DASH_L_b,0.0009000900090009,3.548554367631876e-30,0.0,0.00045602987731298305,3.820622223034858e-92,0.0
EX_asn_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.00038088483757204986,2.9914559198159717e-62,0.0
EX_asp_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.000384545673045595,5.31814359601274e-64,0.0
EX_atp_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_bmn_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_ca2_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_chol_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_cit_b,0.0009000900090009,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_cl_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_co2_b,0.0009000900090009,3.548554367631876e-30,0.0,0.00333842369356496,5.2372982527241336e-71,0.0
EX_co_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_coa_b,0.0009000900090009,3.548554367631876e-30,0.0,0.000956892466462712,1.679543920901055e-61,0.0
EX_cobalt2_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_crn_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_cu2_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_cytd_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003829528997028373,2.1987571520669513e-61,0.0
EX_etha_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0004403424804068968,1.1551173095389091e-91,0.0
EX_fe2_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_fe3_b,0.0009000900090009,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_fum_b,0.0009000900090009,3.540664310333464e-30,0.0,0.00038647754369907077,1.4659769433770977e-64,0.0
EX_gal_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_glc_DASH_D_b,0.0009000900090009,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_glu_DASH_L_b,0.0018001800180018,3.5249105398344624e-30,0.0,0.0002509147406283367,2.5405297640129634e-64,7.942674012230953e-05
EX_gly_b,0.0009000900090009,3.540664310333464e-30,0.0,0.00038388852071580954,1.1965825894084142e-63,0.0
EX_glyb_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_glyc3p_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_glyc_b,0.0009000900090009,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_gthrd_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_h2_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0005177378251955572,5.447650265218054e-97,0.0
EX_h2co3_b,0.0018001800180018,3.5249105398344624e-30,0.0,0.006628562175605638,2.4329266450203584e-97,0.00019765490062519767
EX_h2o_b,0.0018001800180018,3.5249105398344624e-30,0.0,0.00017047506802611573,6.5456497894403835e-71,0.0001595819887432068
EX_h2s_b,0.0009000900090009,3.548554367631876e-30,0.0,0.00044943688306475977,6.445685748847606e-93,0.0
EX_h_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0021081805906912896,6.277798652973322e-35,0.0
EX_hdca_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_his_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003152498951052964,2.8968198523139595e-61,0.0
EX_id3acald_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0005206005504583813,5.663956022321711e-91,0.0
EX_ile_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003830050715626617,4.786330180835545e-63,0.0
EX_k_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003614860461645151,1.0212626175005608e-60,0.0
EX_lac_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.000325126481401086,3.6303642700528432e-65,0.0
EX_lcts_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_leu_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.0003834799461978479,1.1965825221172397e-63,0.0
EX_lys_DASH_L_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0004896962183340846,4.650748071941052e-93,0.0
EX_mal_DASH_L_b,0.0009000900090009,3.540664310333464e-30,0.0,0.00038132756577832164,1.4659770247170671e-64,0.0
EX_malt_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_malthp_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_meoh_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_met_DASH_L_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_mg2_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_na1_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_nh4_b,0.0009000900090009,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_no2_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_no3_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_no_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_o2_b,0.0009000900090009,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_ocdca_b,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
EX_orn_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0005106688212254583,1.5090915931871197e-94,0.0
EX_pac_b,0.0009000900090009,3.540664310333464e-30,0.0,0.00038088483757204986,8.53266701641706e-62,0.0
EX_pdima_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0004459783553312296,9.078234028753396e-90,0.0
EX_phdca_b,0.0009000900090009,3.548554367631876e-30,0.0,0.0004556646400389094,1.9440773478202545e-91,0.0
