,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
13PDG[c],0.015194681861348529,0.38312588356104454,0.00030167768613588474,0.0016712979158353637,0.05406507129135047,0.00025559633186635414
1931CPC52ACYLACP[c],0.004748338081671416,0.2779113890225001,0.00014860740790708656,0.00032890528442431656,0.001959725690102228,0.0001413222724481702
1931CPC52ACYLAMP[c],0.007597340930674264,0.35456006000247164,0.0001818398293300463,0.0003867124607110887,0.017030492487271134,0.00019038410466942708
1931CPC54ACYLACP[c],0.004748338081671416,0.2779113890225001,0.00014860740790708656,0.00032878294857257814,0.001959725690102228,0.0001413222724481702
1931CPC54ACYLAMP[c],0.007597340930674264,0.35456006000247164,0.0001818398293300463,0.00038666964740100945,0.017030492487271134,0.00019038410466942708
1931CPC56ACYLACP[c],0.004748338081671416,0.2779113890225001,0.00014860740790708656,0.00032878294857257814,0.001959725690102228,0.0001413222724481702
1931CPC56ACYLAMP[c],0.007597340930674264,0.35456006000247164,0.0001818398293300463,0.00038666964740100945,0.017030492487271134,0.00019038410466942708
1AMINOPROPAN2OL[c],0.008547008547008548,0.36437051927178443,0.0002800909810833399,0.0011126075079357447,0.03421629306659879,0.00027331280664399655
1AMINOPROPAN2YLP[c],0.008547008547008548,0.34399212787245825,0.0002131335043123103,0.0010752103946530603,0.01769557601173403,0.0002619085752993876
246810MC33ACYLACP[c],0.004748338081671416,0.32953496754159783,0.0005627513512641626,0.00034822734409579136,0.016169959572103668,0.0005135381798879898
246810MC35ACYLACP[c],0.004748338081671416,0.32953496754159783,0.0005627513512641626,0.00034823845033345353,0.016169959553406218,0.0005135381798879898
2468MC30ACYLACP[c],0.009496676163342831,0.32932365945083697,0.0005637543800097628,0.0003485209099217568,0.016169989767942868,0.00051466658722679
2468MC32ACYLACP[c],0.009496676163342831,0.32932365945083697,0.0005637543800097628,0.00034859735518379164,0.01616998928351164,0.00051466658722679
246MC27ACYLACP[c],0.009496676163342831,0.32932365945083697,0.0005638546828843228,0.00035056924412223904,0.016170771954599913,0.0005148922686945501
246MC29ACYLACP[c],0.009496676163342831,0.32932365945083697,0.0005638546828843228,0.0003510983702071557,0.01617075941729005,0.0005148922686945501
24DM3K911DHC34ACYLACP[c],0.003798670465337132,0.2913104066441181,9.355295871460081e-06,0.0002853749618112276,0.0027080815550699936,8.619664301962568e-06
24DM3K911DHC34OATE[c],0.003798670465337132,0.34227274036226607,0.0012841057696841508,0.000359018646079992,0.011631400137458685,0.0013284409817524297
24DM3K911DHC36ACYLACP[c],0.003798670465337132,0.2913104066441181,9.355295871460081e-06,0.0002853705071011,0.0027080815567269365,8.619664301962568e-06
24DM3K911DHC36OATE[c],0.003798670465337132,0.34227274036226607,0.0012841057696841508,0.0003590165383560457,0.011631400137522646,0.0013284409817524297
24MC24ACYLACP[c],0.009496676163342831,0.32932365945083697,0.0005740413647101152,0.0003650324260124358,0.016191022318549624,0.000523919527404952
24MC26ACYLACP[c],0.009496676163342831,0.32942927961102003,0.0005783496681809227,0.000368738300484368,0.01619069762114107,0.000528658838227913
2A3KB[c],0.003798670465337132,0.3165363617341018,0.0009393862752098575,0.0003036056246633694,0.007025697951625022,0.0009390054207685527
2CARBC26ACYLCOA[c],0.011396011396011397,0.3251536859218615,0.00011913701660155792,0.0006729543060246182,0.009082386962876133,0.00015773025820759696
2M79DHC31ACYLACP[c],0.007597340930674264,0.32964072330781785,0.0004977466851632575,0.0004145951114839694,0.020061794568643175,0.0005822581868209245
2M79DHC33ACYLACP[c],0.007597340930674264,0.32964072330781785,0.0004977466851632575,0.00041457189038798055,0.02006179461157084,0.0005822581868209245
2MBECOA[c],0.002849002849002849,0.2551317669714755,2.745791191080587e-06,0.0002908015438853519,0.0009999925558139386,3.610903484160772e-06
2MBUTCOA[c],0.007597340930674264,0.3187959322865178,0.0003339413599056419,0.000628588905451185,0.009818132902152119,0.00043563616123818913
2MBUTLIPO[c],0.007597340930674264,0.31978844764232894,2.042235311783707e-05,0.0007500980926364472,0.011658185580519276,1.882230423646584e-05
2MC21ACYLACP[c],0.008547008547008548,0.3329531584528883,8.777403158378939e-06,0.0003890364957195366,0.016715438120151388,1.609861136688344e-05
2MC23ACYLACP[c],0.008547008547008548,0.33306111991801574,1.3687523876546576e-05,0.00041067704172753866,0.016707031689837306,2.1251671547404545e-05
2METHYLCISACONITATE[c],0.005698005698005698,0.34215872545874765,9.77953026960209e-07,0.0006420436811059034,0.012655493672565655,1.3540888065602896e-06
2METHYLCITRATE[c],0.005698005698005698,0.34433808039797537,1.9007368526772608e-05,0.0007405793273441934,0.017208593059102648,2.0527474727267325e-05
2PCDPMDE[c],0.003798670465337132,0.3046146185727048,0.0009475476956313963,0.00035683924797537224,0.005503165584870528,0.000951702331789642
2PG[c],0.005698005698005698,0.34284395655112165,5.844080371508347e-05,0.0004714203513811952,0.013680661404452475,7.614454164235908e-05
2PHOSPHOLLACTATE[c],0.003798670465337132,0.26860891574978046,5.257495557834639e-05,0.00027253085251136044,0.0015357007533757334,8.798756224294881e-05
34DHSA[c],0.003798670465337132,0.2927217138293418,3.584153496759012e-06,0.0004574066859779588,0.0053159747919827045,8.124532839361737e-06
35DHC26ACYLACP[c],0.008547008547008548,0.32964072330781785,1.4404534894606715e-06,0.0004054489865514943,0.01938505670962709,1.8806788980004017e-06
35DHC28ACYLACP[c],0.008547008547008548,0.32964072330781785,1.4404534894606715e-06,0.0004046326482760544,0.01938508549912501,1.8806788980004017e-06
3DDAH7P[c],0.004748338081671416,0.34284395655112165,0.001874961634150481,0.00044903052833346346,0.015351124676327842,0.001874961634150481
3HC10ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092279511435259,0.0003547857637779833,0.013614870516172384,0.0010903975256571856
3HC12ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092279511435259,0.00037085310200383,0.013614870516172384,0.0010903975256571856
3HC14ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092279511435259,0.0003711420918468646,0.013614870516172384,0.0010903975256571856
3HC16ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.00022781437498024736,0.0003711420918468646,0.013614870516172384,0.00024235963134059874
3HC18ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.00023220141703782546,0.000354987840342194,0.013614892402198495,0.00025992517224792186
3HC18ACYLACP[c],0.004748338081671416,0.3287965729280283,0.0011090474059693176,0.0003379042817830913,0.01367569633660076,0.0010903222985012657
3HC20ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092492705804262,0.00035474316450652795,0.013614890759127123,0.0010904276165195537
3HC20ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00035126599663186386,0.01366373202413138,0.0010903975256571856
3HC22ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092492705804262,0.00035461358531366563,0.013614870516174118,0.0010904276165195537
3HC22ACYLACP[c],0.004748338081671416,0.32900720494143515,0.0011091677694187898,0.0003605306828116946,0.013663407326722828,0.0010903975256571856
3HC24ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092492705804262,0.00035464126885646595,0.013614870516172384,0.0010904276165195537
3HC24ACYLACP[c],0.011396011396011397,0.3337103618671736,0.001252785906182797,0.0005967292013740296,0.022588863417091983,0.0012296406515188293
3HC26ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011088881802320102,0.00035464126885646595,0.013614870516172384,0.0010901267078958737
3HC26ACYLACP[c],0.011396011396011397,0.3337103618671736,0.0012525213472334052,0.000590995964781546,0.022589608901584655,0.0012293210196918979
3HC28ACYLACP[c],0.004748338081671416,0.32890185521202703,0.001109208154523547,0.00037702224923989497,0.013663007974750892,0.0010904978285317455
3HC30ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00037889254526857837,0.01366149696251855,0.0010903975256571856
3HC32ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.0003642530795565644,0.01364450930536382,0.0010903975256571856
3HC34ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036385642676912364,0.013644509267602162,0.0010903975256571856
3HC36ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC38ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC40ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC42ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC44ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC46ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC48ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC4ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092279511435259,0.0003835994384054233,0.01361418302559119,0.0010903975256571856
3HC50ACYLACP[c],0.004748338081671416,0.32890185521202703,0.0011091677694187898,0.00036387804573439055,0.013644509267602078,0.0010903975256571856
3HC52ACYLACP[c],0.004748338081671416,0.3287965729280283,0.0011091677694187898,0.0003383511446732204,0.013644509267602078,0.0010903975256571856
3HC54ACYLACP[c],0.004748338081671416,0.3287965729280283,0.0011091677694187898,0.00033805959006250486,0.013644509267602078,0.0010903975256571856
3HC56ACYLACP[c],0.004748338081671416,0.3287965729280283,0.0011091677694187898,0.00033805283413585894,0.013644509267602078,0.0010903975256571856
3HC58ACYLACP[c],0.004748338081671416,0.3287965729280283,0.0011088668607951097,0.00033805283413585894,0.013644509267602078,0.0010900966170335057
3HC6ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.0011092279511435259,0.00037126080968321175,0.013614870516113672,0.0010903975256571856
3HC8ACYLACPFAS[c],0.004748338081671416,0.3287965729280283,0.00110931765890399,0.0003711420918468646,0.013614870516172384,0.0010905780708313937
3HSA[c],0.003798670465337132,0.2473893289564452,0.0009254745629904055,0.000521857962860283,0.0007882769814279007,0.0009255949264398782
3MBECOA[c],0.004748338081671416,0.25506841167796385,3.220681685959108e-05,0.0002904609756540354,0.000999977348414511,2.4708132486379663e-05
