,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
ANSA,0.3376230128690386,0.575599128540305,0.0002418218277767382,0.001004647510572781,0.03864462994423078,0.00613186240533732,0.00023680904848221324
PAND,0.12263436790310371,0.4885355029585799,0.00023710168670238046,0.0005013607349751254,0.007799061339774928,0.005941073231469969,0.00025570343121175367
NAMH,0.48523845571536717,0.6390904692791485,0.002072161014574926,0.0014601837277327006,0.04704222977445117,0.006166045802577862,0.0020200173587738906
MURC,0.24148372445117336,0.5422824302134647,0.00021168335171971263,0.0007924008928536712,0.021747579272440438,0.006087594889338427,0.0002178367394732838
ALR,0.00984102952308857,0.44947260973120107,1.2365478082968047e-06,0.00015102887421251178,0.0008753206421577087,0.0038125821829372145,1.3011917920150819e-06
S1,0.32778198334595005,0.5721091381550455,4.649164031667747e-05,0.0009568848246788736,0.03835854032747375,0.006128510407906832,4.680808003143711e-05
ARGG,0.2392127176381529,0.5413934426229509,0.001273764361504884,0.0008648338937208619,0.020339077522057318,0.006086065524174175,0.0013394049615067425
GLMS,0.046934140802422405,0.4659611992945326,0.00026811661148388923,0.00035533795204416904,0.003011137688220676,0.005501099424331502,0.00038580444949456555
GDH,0.5041635124905375,0.6475490196078432,0.0024014859557178344,0.0015011572785934139,0.047608662160246965,0.00616898862216081,0.00239395168484714
ASPBC,0.057532172596517786,0.4714489650249822,0.00010247465496795655,0.00033202771816124666,0.0036132772226778304,0.005629060277231862,0.00011277727678944752
GABT,0.04542013626040878,0.4661256175017643,1.3306812399685793e-05,0.0002806265917225365,0.003023120627697444,0.0054847644158533965,1.44170669321014e-05
MURI,0.04012112036336109,0.46367146367146367,2.969253933374199e-06,0.00026296812824309055,0.0027718764685941213,0.005397608767956858,3.0084060895204546e-06
GLN,0.2785768357305072,0.5550420168067227,0.0008057211674165452,0.0009298987744557803,0.024105300260509787,0.00610814298323413,0.0008230953595257683
GLT,0.2687358062074186,0.5396241830065359,0.0008044490236400049,0.0008812735068911696,0.021751724670656024,0.006103113813260261,0.0008231581892681178
ALD,0.49810749432248297,0.6462818003913894,0.003412211177717634,0.0015250580841139087,0.047406733136795984,0.0061680962642293065,0.003371595697455663
ASNB,0.46328538985616957,0.625769777356703,0.0016743777347396243,0.0014165932377671843,0.04458008508462407,0.0061622987107651985,0.0016600138371535723
PURA,0.1688115064345193,0.5132090132090132,0.000591507701915674,0.0006689329726607022,0.015572761635803,0.006021530463598357,0.0006237401310069228
PANC,0.2331566994700984,0.5396241830065359,0.00197955797026916,0.0008573679205955188,0.02011157044039036,0.006082033248369859,0.0019466940715076383
GABD,0.48523845571536717,0.6381642512077295,0.0023883683729483234,0.001442789187784374,0.047059808281070085,0.006166026479957024,0.0023846034010348172
GADB,0.14988644965934897,0.4962434259954921,0.0007352083466470609,0.000606436341510993,0.00958309565855545,0.0059941214917373425,0.0007914907649137465
NADB1,0.03028009084027252,0.4618881118881119,7.650189370314731e-05,0.000266874927235457,0.0019447808951635632,0.005161521189092262,0.00011410930716466625
ROCA,0.49735049205147613,0.644390243902439,0.0019474147417096143,0.0014675479647650084,0.0474796201801504,0.006167943157137161,0.0019475329261655415
DDLA,0.2376987130961393,0.5413934426229509,0.00015115750522300833,0.0007734395243996828,0.021514928580487674,0.006085141463478553,0.0001572026819563723
GA6PF6P,0.3368660105980318,0.5761011774967292,0.0018141351936204432,0.0010696455488387014,0.03847751139071282,0.006131600108086057,0.0017042764738657958
MURB,0.2323996971990916,0.5277666799840192,3.5509773958410044e-05,0.0007387822881259577,0.019703962079035686,0.006081401164437836,3.6592381014204594e-05
MURA,0.14837244511733536,0.5086638428956488,0.0008653021869444059,0.0005810788129252286,0.014685991726134008,0.00599249405621319,0.0008799577433829081
PGMA1,0.003028009084027252,0.38157134604274984,2.8035220397972054e-07,0.00012473604659021153,0.00018930203786904676,0.0020313746928797543,3.53703044778775e-07
NAGA1P,0.1461014383043149,0.49180938198064034,0.00032469626237580736,0.0005426161315699565,0.012740303351008411,0.0059884612224953716,0.0003526220836610966
NAGA,0.3315669947009841,0.5738488271068636,0.0007752504964237079,0.0010083771809841651,0.03839341392370131,0.006129792793433193,0.0007274203794844048
EMB,0.00757002271006813,0.43311475409836064,2.5420608452753832e-05,0.00021266348947253505,0.0004422744418881691,0.0033093749870829695,4.9041704174117346e-05
ARAFDPP,0.004542013626040878,0.4319816873773708,2.4143496386292023e-07,0.00016080440705386708,0.0003452883698536428,0.002567838923430736,2.694469882355128e-07
WBBL,0.005299015897047691,0.3842350203606748,1.8348574948152464e-05,0.00018185827964247722,0.00011549957881785568,0.0027868308519302023,5.5423548702137574e-05
GLFT2,0.008327024981074942,0.3828985507246377,5.0825863845192713e-05,0.00027518926080234804,0.00015699640960718217,0.003413174417150616,0.00018161520171225705
DPPR,0.08705526116578349,0.47984017435524884,0.00032233444670617023,0.000466092910704507,0.006247302536770512,0.005823003018791107,0.00042261392139856044
AFTA,0.008327024981074942,0.43382594417077175,5.284862956471621e-05,0.00023402007082224074,0.0004425946420897433,0.0034496756156784966,9.771460939977675e-05
NAGDPP,0.008327024981074942,0.37753643898256645,2.4627290208901374e-05,0.0002106665031802861,0.00012348368527588234,0.003488687245141423,6.240261278400342e-05
AGPGLCN,0.006813020439061317,0.4329727958046542,2.400458967021235e-05,0.00018997488415586948,0.0004415701648591711,0.003173688548813648,4.740369522988946e-05
PTGLCN,0.005299015897047691,0.38058196485162776,4.444960226153657e-06,0.00019362689378558826,0.00011194102811007212,0.0027515267113372506,4.956852128416369e-06
PROC2,0.23391370174110523,0.5277666799840192,3.065221161909008e-05,0.0007442539132639072,0.0198983263733776,0.006082433590130465,3.126359085715314e-05
P5C,0.03330809992429977,0.4464346062859074,2.2384266517012415e-06,0.00022506816724668073,0.003419538409262447,0.0052533806927110354,2.2420384462509405e-06
PROA,0.35957607872823616,0.5832229580573951,0.0009318088510971709,0.0010815365571666797,0.03269556736676365,0.006138660160558436,0.0009331530101984681
PROB,0.2149886449659349,0.5294589178356713,0.00029261874367186765,0.000741401620471638,0.01866484578908886,0.0060685837892551,0.0003023334824304172
ARGD1,0.04390613171839516,0.46530468474815073,1.0966979505925696e-05,0.0002766843638311166,0.0028102860806310114,0.005461627233587803,1.1758307884392004e-05
ARGB,0.19227857683573052,0.5208990536277602,2.0148641233762107e-05,0.0006402151152467655,0.017727678617286337,0.006048459378868835,2.0540936126554573e-05
ARGJ,0.041635124905374715,0.46432337434094906,9.883873565262953e-06,0.0002682622196347237,0.0028087229242036715,0.0054244837269479705,1.0512418928270475e-05
ROCD,0.04769114307342922,0.46661956905687035,2.224553867151391e-05,0.0002877765346826033,0.0031164774102759346,0.005516906001931947,2.3931998582113142e-05
ARGF,0.14383043149129449,0.5065184049079755,0.00048527326280254046,0.0005590161871951751,0.014635062240489438,0.005984849937414963,0.0005816318606027045
ARGC,0.3588190764572294,0.5829655781112092,0.0009354226842988246,0.0010797542646682327,0.03261479429289025,0.006138437946639476,0.0009368124073626216
ARGH,0.013626040878122634,0.43683862433862436,1.3080810737330926e-05,0.00018226741908807423,0.0010068244211867607,0.004261285476680737,2.510571163624926e-05
ARGA,0.1809235427706283,0.5065184049079755,0.000524282930721234,0.0006530755751288802,0.014946690466901094,0.006036352765831423,0.0005676343074590161
ARCA,0.33383800151400456,0.574597651152675,0.0019021584329004513,0.001045977792226108,0.03850204907090976,0.006130618608047004,0.001755848990102749
OELAC,0.1105223315669947,0.4774123599566317,0.0,0.0004573373302289583,0.006874493534353566,0.005909326654316913,0.0
BO11,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738506,0.0019431015338622045
BO10,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO13,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738506,0.0019431015338622045
BO15,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738506,0.0019431015338622045
BO14,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738506,0.0019431015338622045
BO17,0.001514004542013626,0.40115396295171574,0.0,0.00011736448434907294,0.00018126588069010023,0.001217527474045706,0.0
BO16,0.5556396669190008,0.6691995947315096,0.0029727135528965862,0.0016736626591891267,0.05045089968020819,0.0061760083478627015,0.0029282550975875516
BO19,0.4761544284632854,0.6347909658817876,0.0008506856124444299,0.001364706839769572,0.047073658169481454,0.006164512478967362,0.0008410170744952569
BO18,0.3255109765329296,0.5713667820069204,0.0005200424138920172,0.0009944612642120124,0.03823829899497583,0.006127660966673673,0.0005277040051503852
BO12,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO9,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO8,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO1,0.5556396669190008,0.6691995947315096,0.0020040965455346204,0.001626460031074127,0.050465563793919956,0.006176004124322076,0.0019685810410401926
BO3,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO2,0.5556396669190008,0.6691995947315096,0.0020040965455346204,0.001626460031074127,0.050465563793919956,0.0061760041243221105,0.0019685810410401926
BO5,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.00617590960173854,0.0019431015338622045
BO4,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO7,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
BO6,0.554882664647994,0.6688607594936709,0.0019798983979128666,0.0016238415742940938,0.050450529958150414,0.006175909601738523,0.0019431015338622045
FADB1,0.23164269492808479,0.526924611088951,5.8931790631169904e-05,0.0007412223983457433,0.019632141974557555,0.006080869517174341,6.029933247596068e-05
ACTAC1,0.03860711582134747,0.44688768606224627,7.400516937942907e-06,0.0002208257592753033,0.003997819736202443,0.0053739445532338575,8.906836451536702e-06
H2CO3,0.40348221044663135,0.5999091734786558,0.0009279411792569811,0.0012081949297129803,0.040720277212653706,0.006150147236699943,0.0009151223685891659
S2,0.22785768357305072,0.5202835762111068,3.59671264092202e-06,0.0007236314737736578,0.01935972711628771,0.006078211043270666,3.5946418511347555e-06
COX,0.408781226343679,0.6020966271649955,0.004445998255398743,0.0013925895304844453,0.04077938821546624,0.006151485431723646,0.004463147862800718
GLTA1,0.4080242240726722,0.6001817355747388,0.0006882812733363538,0.0012044242726395394,0.04241386298719942,0.006151191397955755,0.0006791256953504331
PCA,0.4708554125662377,0.6350961538461538,0.004870536554157987,0.0014790898637878215,0.03984462717470391,0.0061636898645405355,0.004897104497451054
SDH2,0.046934140802422405,0.45395189003436426,0.00018640337730996135,0.00032732277545839564,0.0038998914620217845,0.005501889420062141,0.0002107876329940222
ICD,0.31491294473883424,0.554575986565911,0.0013032594922148043,0.0010422135038968725,0.022208714041655007,0.0061235429289496456,0.0013102642508946816
SUCD,0.35654806964420893,0.5793859649122807,0.0019311673712164095,0.0011515869670393687,0.031049630500399293,0.006137759172025875,0.0019804002432076318
MDH,0.24148372445117336,0.5303091128061019,0.00017180610565010326,0.0007735705263773447,0.02051847705573445,0.00608743022259891,0.00017428787808333566
FUM,0.3330809992429977,0.5738488271068636,0.0005708858270932418,0.0010087848889360975,0.03836369850628047,0.006130321243031635,0.0005362658889796188
GLTA2,0.41029523088569264,0.6010009099181074,0.0006228442906123421,0.0012067840693189744,0.04253532006059488,0.006151707358667024,0.0006154968435502182
CITE,0.016654049962149885,0.4481004070556309,1.0261016491429238e-05,0.00017738323017319613,0.0012283466644780487,0.004531104342071835,1.468818332346992e-05
ACN2,0.32626797880393643,0.5716140199048031,9.384281837389692e-05,0.0009552449198906033,0.03828478686439685,0.006127978907883159,9.053426389233531e-05
ACN1,0.3255109765329296,0.5713667820069204,5.357009797819053e-05,0.0009515250765099951,0.03824043465948966,0.006127705951265358,5.198929034999379e-05
KGD1,0.12339137017411052,0.48123861566484516,0.00019038916539631967,0.0005169286462450931,0.007231873240219706,0.005942533110398172,0.00019459441080068907
KGD2,0.39288417865253594,0.5868502887605509,0.0025240643538810854,0.001282506454107751,0.027196943303226737,0.0061474651867597626,0.0025532157339974893
COBM,0.028766086298258893,0.4548898071625344,1.3127817600836164e-07,0.0002942892118626872,0.001205991185176718,0.005101169680148573,1.3127817600836188e-07
COBS,0.2331566994700984,0.5246227164416203,0.0003724128958926125,0.0007549724897898533,0.019587231479311032,0.006081907943444942,0.00039615306099298746
THIE,0.3096139288417865,0.5592718035563082,0.0016991997430913475,0.0009732417124680599,0.025359490556806544,0.006121684579219124,0.0018222360919697565
THIG,0.526116578349735,0.6526679841897233,0.007551679088542858,0.0017476583729608963,0.04748792098254146,0.0061722898018448475,0.007614445215830364
THIC,0.5109765329295988,0.6520236920039487,0.002565268421403289,0.0015117984966039678,0.04868508789121539,0.00617001435979175,0.0025369860384671025
PCOA,0.6018168054504164,0.6927110644992134,0.00287930818444077,0.0017697556891710868,0.05153735995459812,0.006181302401238544,0.0028139350556339203
AACE,0.11203633610900833,0.4777576853526221,3.912899566502337e-06,0.0004614319720961999,0.006956391118673457,0.0059136508529558955,3.90376548144006e-06
MPET,0.19152157456472368,0.5206937327552227,5.714149955417788e-06,0.0006356763500304645,0.017772323199744693,0.006047711083073872,5.819179610145492e-06
BIOF,0.2202876608629826,0.519669551534225,0.0004765363252618962,0.0007802561742494838,0.015712221897568376,0.006072539415826664,0.0004990766131461823
FBIB,0.00757002271006813,0.4220447284345048,6.685897525698022e-07,0.00014171178698895627,0.0004846197303864779,0.0034129079151498953,8.277410964085107e-07
FBIA2,0.1854655563966692,0.5186493914409108,0.0009546511957805873,0.0007559416748495088,0.016236869081833288,0.006040856231113144,0.0009978185235971014
FBIA1,0.1854655563966692,0.5186493914409108,0.000896734838613329,0.0007532269395676195,0.016237347360740062,0.00604082856944488,0.0009416032167498845
APRO,0.23467070401211204,0.5279776179056754,3.554263148403004e-05,0.0007450291750035881,0.01993752721242161,0.006082955107045568,3.537995991663755e-05
DMBI,0.522331566994701,0.6578685258964143,0.004098560022865996,0.0016084430067913908,0.04871591875700671,0.00617167341442522,0.004107816884915153
ARIZ,0.36563209689629067,0.5871111111111111,0.00012485278501342707,0.001063975449594098,0.040728698201907214,0.006140422174270659,0.00012299457443195493
CYSG3,0.029523088569265707,0.455046503616948,2.7567012540727685e-06,0.00029647477808841707,0.0012465688574006726,0.005125935720173426,2.7621525762936933e-06
COBI2,0.029523088569265707,0.45693531649948116,2.6477409920138334e-06,0.00029636103435090973,0.0013020142565368796,0.005125980329003607,8.690437925456965e-06
THIL,0.19152157456472368,0.5206937327552227,5.5716190996035255e-06,0.0006357052075802141,0.01775975386830799,0.006047709425854441,5.67576850293028e-06
HYD,0.11733535200605602,0.48655616942909763,0.001514004542013626,0.0005189153373583578,0.011083937332931806,0.005927674849654924,0.0015140045420136256
THID1,0.19152157456472368,0.5217219589257504,4.4245332761876e-06,0.0006355570706564912,0.017819897760504744,0.006047711047444397,5.095109530544444e-06
THID2,0.19076457229371688,0.5204885736800631,4.881770536435432e-06,0.0006338324496215751,0.017676665521412248,0.006046948526707323,4.989173415092869e-06
MOG,0.2202876608629826,0.5356853203568532,0.00020637221034164733,0.0007520724313360852,0.01914738957984888,0.006072703090986494,0.00021766125219700944
MOAA1,0.3838001514004542,0.594777127420081,0.0006280453029587684,0.0011572583306128092,0.04100050640966317,0.006145325805953384,0.0006243063806896603
THI,0.36563209689629067,0.5871111111111111,0.00011844094552258048,0.00106389704980428,0.040737075493326794,0.006140420927551239,0.00011660085288812127
COBO,0.408781226343679,0.6065197428833793,0.002383920655794222,0.0012650352491757483,0.0360239182060912,0.006151351140195096,0.00242448232028421
2PPLA,0.026495079485238455,0.45788561525129984,5.4886767516767816e-05,0.0002790257380875413,0.0011076054542741777,0.005025588846534976,8.065456364276753e-05
SAMOX,0.4118092354277063,0.6015482695810564,0.0020564883971297054,0.0013017736710068963,0.04215810739307927,0.006152042931099967,0.002027644361470908
COBL,0.1392884178652536,0.4919925512104283,0.0011759562192393742,0.0006882849693187302,0.008041806658418775,0.005974240108713198,0.0012716104785839134
LPPG,0.09084027252081756,0.485304922850845,8.706512653224485e-05,0.00040550237250715806,0.006725610881616179,0.005841848716301253,9.674920442199207e-05
