,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
ANSA,0.13171839515518546,4.7182466662784595e-29,1.3375483413864545e+86,0.0004271577102891754,3.8262347101454194e-05
PAND,0.00984102952308857,4.7182466662784595e-29,55133.657865914465,0.0001601259585830188,3.51205992461828e-06
NAMH,0.3255109765329296,4.7182466662784595e-29,1.1051656437347254e+94,0.0007048030761886865,4.584766986461125e-05
MURC,0.03709311127933384,4.7182466662784595e-29,6.32716872894036e+79,0.00038623172761793727,7.03752580272269e-06
ALR,0.011355034065102194,4.7182466662784595e-29,2.1291655126079024e+36,0.00017943278425723325,1.408050077826424e-05
S1,0.2218016654049962,4.7182466662784595e-29,0.0,0.0001466762933830476,3.835891011113797e-05
ARGG,0.018925056775170326,4.7182466662784595e-29,2.1673326169170873e+91,0.0005767909739823316,0.0021654234160139955
GLMS,0.0643451930355791,4.7182466662784595e-29,1.6044569201817144e+60,0.0008321813209025024,0.011230237838403974
GDH,0.3588190764572294,4.7182466662784595e-29,5.979832929764977e+73,0.0012510077809239192,0.17585988582629097
ASPBC,0.07115821347464042,4.7182466662784595e-29,8.341969189967787e+61,0.000755419005768818,6.16589838804278e-05
GABT,0.05980317940953823,4.7182466662784595e-29,2.5125040817154676e+45,0.0007323304851134181,2.4921550759818246e-05
MURI,0.023467070401211203,4.7182466662784595e-29,343.31440896808834,0.0005358674496998212,1.3044473957181567e-06
GLN,0.08705526116578349,4.7182466662784595e-29,4.711974921245083e+99,0.0016240018743632555,2.3002535647152763e-05
GLT,0.13550340651021953,4.7182466662784595e-29,5.136933448855907e+96,0.0008987851588592113,0.02339042167755093
ALD,0.668433005299016,4.7182466662784595e-29,2.6936020748971166e+105,0.0022947304775456385,0.0029685490375618525
ASNB,0.1506434519303558,4.7182466662784595e-29,1.835281257768799e+101,0.0006484798982240184,1.8451342018897026e-05
PURA,0.02043906131718395,4.7182466662784595e-29,3.643101269930207e+29,0.00045369959471519767,0.0007397700474949006
PANC,0.016654049962149885,4.7182466662784595e-29,2.293427736115979e+65,0.0003470981846688526,0.0014393631519404328
GABD,0.631339894019682,4.7182466662784595e-29,3.6080102312034307e+99,0.002766020255530525,9.405874773281939e-05
GADB,0.03028009084027252,4.7182466662784595e-29,1.0818406625256426e+26,0.0005358674496998212,2.6927111545887693e-06
NADB1,0.013626040878122634,4.7182466662784595e-29,2551774065620.86,0.0003780716548301056,5.790858559890038e-06
ROCA,0.34822104466313397,4.7182466662784595e-29,2.419071251495153e+71,0.0009395040635609435,0.0007748843618109715
DDLA,0.03330809992429977,4.7182466662784595e-29,2.3437999189452817e+74,0.0003343671895543684,7.030862691308954e-06
GA6PF6P,0.35730507191521577,4.7182466662784595e-29,6.347199563252006e+104,0.0013165235630980393,0.03115273691249522
MURB,0.10749432248296745,4.7182466662784595e-29,8.730848990692543e+93,0.0006960496468855423,8.0357156802076e-06
MURA,0.016654049962149885,4.7182466662784595e-29,0.0,0.0005425665229563079,2.967013705458401e-06
PGMA1,0.002271006813020439,4.7182466662784595e-29,2.001587659396794e-17,0.00014478305066716626,4.0968922770036455e-07
NAGA1P,0.09159727479182438,4.7182466662784595e-29,2.0918819683866873e+26,0.000981237266227296,0.000755664586753523
NAGA,0.0,0.0,0.0,0.0001174186253561024,0.0
EMB,0.003785011355034065,4.7182466662784595e-29,8.26064749810401e-06,0.0002799062025694047,1.361140556524182e-05
ARAFDPP,0.004542013626040878,4.7182466662784595e-29,0.0014384659292415761,0.00025381560248589387,0.001451395290073551
WBBL,0.003028009084027252,4.7182466662784595e-29,6.854231473579264e-05,0.00019716054262778961,1.1356388782193738e-05
GLFT2,0.003785011355034065,4.7182466662784595e-29,0.0014563889142688263,0.00032587396860991695,0.0014469718794453026
DPPR,0.008327024981074942,4.7182466662784595e-29,1.1153724667148766e+28,0.0006401010568668508,0.004301326601252147
AFTA,0.003785011355034065,4.7182466662784595e-29,1.807566905057218e+27,0.00042056896433027705,1.2466350657213741e-05
NAGDPP,0.003785011355034065,4.7182466662784595e-29,1.1469731378891106e-06,0.00019356234528359473,9.74070156269513e-06
AGPGLCN,0.005299015897047691,4.7182466662784595e-29,0.0,0.00039823306397203097,4.35540625200843e-06
PTGLCN,0.003028009084027252,4.7182466662784595e-29,0.0007212142681993703,0.00017114109822196396,0.0007287491570391023
PROC2,0.32778198334595005,4.7182466662784595e-29,1.6937635475616364e+93,0.0022282873606767417,5.849792295007608e-05
P5C,0.006813020439061317,4.7182466662784595e-29,8.749955294788178e-06,0.0001957192357601568,9.007804933931513e-07
PROA,0.11960635881907646,4.7182466662784595e-29,1.692194877736881e+93,0.0007114207930474784,1.9982639286645417e-05
PROB,0.04314912944738834,4.7182466662784595e-29,2.1342600273175284e+86,0.0007230969383087827,4.286597360322812e-06
ARGD1,0.03406510219530658,4.7182466662784595e-29,1.3846267583754897e+46,0.0005513867561351363,1.5547904104940418e-05
ARGB,0.02195306585919758,4.7182466662784595e-29,2.7530642751829965e+80,0.0004010167674128528,4.280710255489493e-06
ARGJ,0.026495079485238455,4.7182466662784595e-29,1.7572731949786398e+22,0.00056709809009238,0.0014505484681458843
ROCD,0.03557910673732021,4.7182466662784595e-29,4490635711472.993,0.0004705747914361092,0.0014521256745670332
ARGF,0.016654049962149885,4.7182466662784595e-29,325232.32482209563,0.00025531146992404665,9.758206963231752e-06
ARGC,0.11960635881907646,4.7182466662784595e-29,1.2550372223993552e+102,0.0006931807311196052,1.0729514621894881e-05
ARGH,0.008327024981074942,4.7182466662784595e-29,3.4874972647026115e-09,0.00019965439076428991,6.377671510245199e-06
ARGA,0.0,0.0,0.0,0.0001174186253561024,0.0
ARCA,0.12263436790310371,4.7182466662784595e-29,6.687741708615938e+85,0.00042882678383313706,0.0014390900439184664
OELAC,0.0,0.0,0.0,0.0001174186253561024,0.0
BO11,0.3981831945495837,4.7182466662784595e-29,1.9083966479748198e+89,0.0015101202154702636,5.874310282866192e-05
BO10,0.3981831945495837,4.7182466662784595e-29,2.5420804169080577e+89,0.0016509316592483456,5.85817549302953e-05
BO13,0.39666919000757,4.7182466662784595e-29,6.336837689332379e+88,0.001510047417556035,5.837630780278117e-05
BO15,0.3981831945495837,4.7182466662784595e-29,1.2673675378664757e+89,0.0016322133726210742,5.86246197189174e-05
BO14,0.39894019682059045,4.7182466662784595e-29,7.068876455678028e+91,0.001620239748501477,5.8927663084574614e-05
BO17,0.001514004542013626,4.7182466662784595e-29,3.5857334503504164e-61,0.00012294868078073889,9.334971040525114e-08
BO16,0.39742619227857684,4.7182466662784595e-29,6.336837689332379e+88,0.001510051525156286,0.0007879445732106607
BO19,0.3330809992429977,4.7182466662784595e-29,9.957763122500798e+99,0.0010960961912559206,0.0014776018273569395
BO18,0.11279333838001514,4.7182466662784595e-29,6.68892161346463e+70,0.000498477413489652,0.0007155842171327094
BO12,0.3981831945495837,4.7182466662784595e-29,1.2673675378664757e+89,0.0016311034471605417,5.858050165718802e-05
BO9,0.39894019682059045,4.7182466662784595e-29,6.410291101083439e+88,0.001650636718704117,5.874310716524706e-05
BO8,0.39894019682059045,4.7182466662784595e-29,1.2780523085873097e+89,0.0016513956531438222,5.8740781117303235e-05
BO1,0.40196820590461774,4.7182466662784595e-29,5.235065914317061e+91,0.0015398758854584386,6.106640496311944e-05
BO3,0.40045420136260407,4.7182466662784595e-29,4.891771287015306e+91,0.0016807461594091706,5.886335809347124e-05
BO2,0.4027252081756245,4.7182466662784595e-29,5.118490931663477e+91,0.0016754370117400862,6.0950265905066924e-05
BO5,0.4027252081756245,4.7182466662784595e-29,3.5570077887786935e+91,0.0016839752958662023,6.1027007129313636e-05
BO4,0.4027252081756245,4.7182466662784595e-29,4.444755641858696e+91,0.0017354507295676439,6.497901640450621e-05
BO7,0.3996971990915973,4.7182466662784595e-29,1.9130725512525256e+89,0.0016449797976296413,5.8740777825361733e-05
BO6,0.40499621498864496,4.7182466662784595e-29,2.5641164404194014e+89,0.0016322576656242435,0.0014992553962990065
FADB1,0.0,0.0,0.0,0.0001174186253561024,0.0
ACTAC1,0.012869038607115822,4.7182466662784595e-29,0.0007151377514738605,0.0004734683708047199,0.0007243911751224422
H2CO3,0.19152157456472368,4.7182466662784595e-29,1.4645866642293703e+51,0.0018816970183929366,0.0007331151465313025
S2,0.1642694928084784,4.7182466662784595e-29,0.0007145642649049159,0.0009167480592744011,0.0007644739867749251
COX,0.12339137017411052,4.7182466662784595e-29,4.575488651831596e+63,0.0006194770957360136,0.0014443249129255133
GLTA1,0.186222558667676,4.7182466662784595e-29,4.1789356826784205e+73,0.0009248561631943463,0.024159422343350504
PCA,0.1339894019682059,4.7182466662784595e-29,1.3088375352158884e+91,0.001123120068235164,1.2664108036665166e-05
SDH2,0.07645722937168811,4.7182466662784595e-29,1145164.1330443865,0.0014630312912556733,0.005120592903228767
ICD,0.24526873580620742,4.7182466662784595e-29,76304356.20555688,0.0019999464484349526,0.0007806997273487265
SUCD,0.514004542013626,4.7182466662784595e-29,2.6814643658652696e+122,0.008549403666143329,0.086636057633829
MDH,0.372445117335352,4.7182466662784595e-29,3.996063711071078e+95,0.001293588028628062,0.018392055452836856
FUM,0.22558667676003027,4.7182466662784595e-29,5.260031907541016e-07,0.00019277869712610478,4.413653057950972e-05
