,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
13dpg_c,0.015296367112810707,0.38318819953338007,0.00029549411585895707,0.0016433571894815667,0.053023717244908786,0.0002499351501317765
meroacidcyc2ACP_c,0.004780114722753346,0.2781103188731593,0.00014996692739871172,0.00032135583086783103,0.0018974606218560537,0.00014272749611634589
meroacidcyc2AMP_c,0.0076481835564053535,0.3564416363249821,0.00019342129339271,0.00038596685913289656,0.0165773412164319,0.00020183761391273137
1931cpc54acylACP_c,0.004780114722753346,0.2781103188731593,0.00014996692739871172,0.0003212328335512934,0.0018974606218560537,0.00014272749611634586
1931cpc54acylAMP_c,0.0076481835564053535,0.3564416363249821,0.00019342129339271002,0.00038593262467373685,0.0165773412164319,0.00020183761391273137
1931cpc56acylACP_c,0.004780114722753346,0.2781103188731593,0.00014996692739871172,0.0003212299430858292,0.0018974606218560537,0.00014272749611634586
1931cpc56acylAMP_c,0.0076481835564053535,0.3564416363249821,0.00019342129339271002,0.00038593262467373685,0.0165773412164319,0.00020183761391273137
appl_c,0.004780114722753346,0.32940522047407583,0.0004983246013483041,0.00040963018161686816,0.01801921362886257,0.0005116173237971519
pmoctaACP_c,0.004780114722753346,0.33015435515351654,0.0005615553780072178,0.00031300980798765784,0.016111785944360253,0.0005139195111017593
pmdecaACP_c,0.004780114722753346,0.33015435515351654,0.0005615553780072178,0.0003130205488513951,0.016111785927827176,0.0005139195111017593
tamhexcACP_c,0.009560229445506692,0.3299399692086116,0.0005626009259985241,0.0003132972305689734,0.016111815447448177,0.0005151393170916165
tamoctaACP_c,0.009560229445506692,0.3299399692086116,0.0005626009259985241,0.0003133717657388882,0.01611181501445879,0.0005151393170916165
tmlgncACP_c,0.009560229445506692,0.3299399692086116,0.0005627316194974373,0.00031532565327546365,0.016112588506182295,0.0005154442685890809
tmhexcACP_c,0.009560229445506692,0.3299399692086116,0.0005627316194974373,0.00031584783340819056,0.01611257715707596,0.0005154442685890809
24dm3k911dhc34acylACP_c,0.0038240917782026767,0.2573999759783495,1.0395932488689835e-05,0.00024379507552688118,0.0014720081333723788,1.1975583919741201e-05
24dm3k911dhc34oate_c,0.0038240917782026767,0.3438968206979776,0.001288757892632531,0.00034373094020907703,0.01159788551268557,0.0013325813840327333
24dm3k911dhc36acylACP_c,0.0038240917782026767,0.2573999759783495,1.0395932488689835e-05,0.00024378994051305777,0.0014720081349254728,1.1975583919741201e-05
24dm3k911dhc36oate_c,0.0038240917782026767,0.3438968206979776,0.001288757892632531,0.000343728923324355,0.0115978855127448,0.0013325813840327333
dmbhnACP_c,0.009560229445506692,0.3299399692086116,0.0005731209084341695,0.0003296028851961383,0.01613284995012697,0.0005245928135130107
dmlgncACP_c,0.009560229445506692,0.33004712736684766,0.0005775023439197966,0.0003332620660899293,0.016132552582099474,0.0005293957995980738
2aobut_c,0.0038240917782026767,0.31726977994459066,0.0009439222763478336,0.0003057391022400337,0.007339533758415302,0.0009435237450483501
chexccoa_c,0.01147227533460803,0.3246693626717329,0.00011850536794018947,0.0006547855976512172,0.008685855786995086,0.00015193147164052487
2m79dhc31acylACP_c,0.0076481835564053535,0.33015435515351654,0.0006733815955936309,0.0003766036213294986,0.019495098769823825,0.0007565846652089985
2m79dhc33acylACP_c,0.0076481835564053535,0.33015435515351654,0.0006733815955936309,0.0003765788364523728,0.019495098810535166,0.0007565846652089985
2mb2coa_c,0.0028680688336520073,0.25590911739172095,2.8589202887280775e-06,0.0002926950674350331,0.0009791663767362642,3.6594179695719394e-06
2mbcoa_c,0.0076481835564053535,0.3188625996744663,0.0003450756033366312,0.0006334632983865475,0.009585591177213608,0.0004524582793678094
2mbdhl_c,0.0076481835564053535,0.3198662591005741,2.128866416539032e-05,0.0007527220340658851,0.011436006010277394,1.9269834256473404e-05
marachACP_c,0.008604206500956023,0.33362281850378334,9.140636404693879e-06,0.0003586137219243899,0.016663812724608748,1.6391142988707645e-05
mbhnACP_c,0.008604206500956023,0.3337323826477911,1.413197488524972e-05,0.0003800951982933669,0.01665601920161206,2.161343738278427e-05
2mcacn_c,0.005736137667304015,0.344013238037415,1.2223472523361827e-06,0.0007024236119013247,0.012645619527972071,2.287136230982462e-06
2mcit_c,0.005736137667304015,0.34600446209142793,7.451973558900665e-05,0.0008676704543347481,0.01690675528535735,5.898127126653094e-05
2p4c2me_c,0.0038240917782026767,0.3005664315772032,0.0009449370593327521,0.00035452657141118787,0.005037420913452096,0.0009446798379574871
2pg_c,0.005736137667304015,0.34424630933689837,6.0650338656846005e-05,0.00044944153333775853,0.013458995173143216,7.784131065988611e-05
2plac_c,0.0038240917782026767,0.27750275946546255,3.339268017466757e-05,0.0002898495764186308,0.001778767256772806,7.551361455960428e-05
34dhsa_c,0.0038240917782026767,0.2776544003176295,3.775304267865609e-06,0.00041551684217782574,0.004302931539999915,8.233690431536864e-06
35dhc26acylACP_c,0.008604206500956023,0.33004712736684766,1.5291139372854177e-06,0.00040151340343044643,0.020029973057729786,2.134660482250298e-06
35dhc28acylACP_c,0.008604206500956023,0.33004712736684766,1.5291139372854177e-06,0.00040067238696358024,0.020030001023403486,2.134660482250298e-06
2dda7p_c,0.004780114722753346,0.34424630933689837,0.0018836853998371557,0.00039512609160962845,0.014594680965821456,0.0018836853998371557
3hc10acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011015237203298423,0.0003587329174864649,0.014771479716177538,0.0010811116876705083
3hc12acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011015237203298423,0.00037473467287252733,0.014771479716177538,0.0010811116876705083
3hc14acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011015237203298423,0.00037496575547185565,0.014771479716177538,0.0010811116876705083
3hc16acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.00021566676597921437,0.00037496575547185565,0.014771479716177538,0.00023025767602853335
3hc18acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.00022036221407216883,0.0003589028538507671,0.014771499953061868,0.00024921095615218594
3hc18acylACP_c,0.004780114722753346,0.32940522047407583,0.0011013407494313637,0.0003418539086594747,0.014830104382016129,0.0010810354497961421
3hc20acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011015443603397317,0.0003586823518148391,0.014771498381785327,0.0010811421828202546
3hc20acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.00035514704315101064,0.01481949958312378,0.0010811116876705083
3hc22acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011015443603397317,0.00035861761962463934,0.014771479716179042,0.0010811421828202546
3hc22acylACP_c,0.004780114722753346,0.329618911826962,0.0011014627300303494,0.0003642949953854881,0.014819202215096281,0.0010811116876705083
3hc24acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011015443603397317,0.00035861737618680077,0.014771479716177538,0.0010811421828202546
3hc24acylACP_c,0.01147227533460803,0.3340615072855108,0.0012434140633512721,0.000597054528192782,0.02404543210908409,0.0012159257039083269
3hc26acylACPFAS_c,0.004780114722753346,0.32940522047407583,0.0011011784185427744,0.00035861737618680077,0.014771479716177538,0.0010808372313227902
3hc26acylACP_c,0.01147227533460803,0.3340615072855108,0.0012431287915030884,0.0005911119761267086,0.024046165025020216,0.0012156295621207896
3hc28acylACP_c,0.004780114722753346,0.3295120315053579,0.0011015003539164004,0.0003806334177029166,0.014818846005474295,0.0010812133381696628
3hc30acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003825293971476781,0.014817396555715194,0.0010811116876705083
3hc32acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.00036791222807564504,0.014801227829661,0.0010811116876705083
3hc34acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003675429032287991,0.014801227795382158,0.0010811116876705083
3hc36acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003675510460343324,0.014801227795382085,0.0010811116876705083
3hc38acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003675510460343324,0.014801227795382085,0.0010811116876705083
3hc40acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003675510460343324,0.014801227795382085,0.0010811116876705083
3hc42acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003675510460343324,0.014801227795382085,0.0010811116876705083
3hc44acylACP_c,0.004780114722753346,0.3295120315053579,0.0011014627300303494,0.0003675510460343324,0.014801227795382085,0.0010811116876705083
