,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
IPDPS,0.48778625954198473,0.6402737047898338,0.0019438206398512486,0.0014172959105802994,0.04764877566687721,0.0063237374835700185,0.0019397175094048955
DMPPS,0.4816793893129771,0.6371595330739299,0.0015001698181148105,0.001392372061025104,0.047547147819828425,0.006322687774099557,0.0014729940709884118
GK2,0.025190839694656488,0.45549374130737136,4.114561913104605e-05,0.0002863645264332651,0.0010757511109580364,0.005071266808245122,6.994793265673744e-05
DTMPK,0.1916030534351145,0.5208747514910537,0.000693948713182663,0.0006829797101931942,0.017518731305172515,0.006198887340432503,0.0006850402595419423
PPSB1,0.38702290076335877,0.5848214285714286,0.001188261956731531,0.0012230076971130675,0.02758838778477631,0.006302241332129943,0.001189269324023099
SUCFUMt,0.019083969465648856,0.43063773833004604,4.412825548941266e-05,0.000302182733656216,0.0008918511971962615,0.004731052729968198,0.0001775321321056461
PPSB3,0.3877862595419847,0.5850826261723984,0.0011933353048851354,0.0012249002986433096,0.027667623154490454,0.006302445485153977,0.0011943386420447636
PPSB2,0.38702290076335877,0.5848214285714286,0.001188261956731531,0.0012230076971130675,0.02758838778477631,0.006302241332129745,0.001189269324023099
CHRPL,0.025954198473282442,0.44197031039136303,0.00012847184780611184,0.00030905983104657534,0.0009762667439311586,0.0051061707055109285,0.0001959773548975209
34HPPOR,0.13053435114503817,0.48500555349870417,0.0005534082574111803,0.0005864088480846445,0.008187473572366448,0.006104926024313576,0.0006483039381720142
NO3R1,0.3297709923664122,0.5745614035087719,0.00028112047324874845,0.000979820588771028,0.03851613239285547,0.0062846102046218875,0.00026917563047210754
TPI,0.012213740458015267,0.4171974522292994,2.453383897082784e-05,0.0002677483801408861,0.00046928378586363147,0.004108178888021302,5.1124710109871926e-05
OGSAL,0.23740458015267174,0.5288655631812677,5.618286977593067e-05,0.0007571804619749491,0.02018577645431704,0.006237881401084936,5.6469622977811764e-05
PRPPS,0.2099236641221374,0.5295068714632175,0.0005737982174542672,0.0007390066604896709,0.01882062216857124,0.006216553210512611,0.0005993512108708979
HPPK2,0.20229007633587787,0.5248397435897436,0.0006378324926673219,0.0007114884032607605,0.018546852336512664,0.006209583781743581,0.0007166255687044428
EMB,0.006870229007633588,0.43305785123966944,1.9688190306266285e-05,0.00022433351573955014,0.00033529255397667286,0.003166744790819021,4.707476058066311e-05
ECHA20,0.47862595419847326,0.6359223300970874,0.0009003115590947203,0.001376750048950795,0.04737101717935097,0.006322156058811783,0.0008889751522392441
PC11M,0.028244274809160305,0.4548611111111111,1.3638840605772546e-07,0.00030383999062983443,0.0011040966638435788,0.005186850878932492,1.3638840605772498e-07
SULabc_rev,0.4389312977099237,0.6161806208842897,0.0011541791701858818,0.0013301518966726998,0.04497300388298102,0.006314568558822629,0.0011426880814627426
FBA2,0.007633587786259542,0.4017172646427476,1.093074391655289e-05,0.0001913152344733336,0.0003571159440438311,0.0034103737013532346,1.590792814402742e-05
FBA,0.013740458015267175,0.42950819672131146,3.279161366744537e-05,0.0002734543313232595,0.0005895298492464213,0.004286918304565409,9.083663933750143e-05
SULabc,0.4389312977099237,0.6161806208842897,0.0011541791701858818,0.0013301518966726998,0.04497300388298102,0.006314568558822521,0.0011426880814627426
RNDR3,0.3297709923664122,0.5733041575492341,1.9514475088678765e-05,0.0009630677047943974,0.03856078069472495,0.0062845892522640796,1.9248816779199694e-05
RNDR2,0.3450381679389313,0.5793896505970809,0.0015799601192689713,0.0011008711341317433,0.03873145252040231,0.006289836543632039,0.0015534793532391649
NO3t2,0.233587786259542,0.5225368966892701,0.0017214867025543707,0.0008500383128740205,0.01967458125567436,0.006234883102324094,0.0017287037128795282
INHA13,0.23740458015267174,0.5288655631812677,1.5223183538952967e-05,0.0007520123933032019,0.02026564322554985,0.006237880358580894,1.5164306864461791e-05
