,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
IPDPS,0.3282442748091603,8.473452835331306e-30,4.383327509510346e+88,0.0007448365105979977,0.045581176052350354
DMPPS,0.6106870229007634,8.473452835331306e-30,4.2304207991268044e+116,0.001544143439308075,0.0011567566484658278
GK2,0.02748091603053435,8.473452835331306e-30,5.735371065913954e+57,0.001026786891841837,5.399112362138981e-05
DTMPK,0.025954198473282442,8.473452835331306e-30,6.530583918405243e+36,0.00044096912333300373,2.1187323962250227e-05
PPSB1,0.18854961832061068,8.473452835331306e-30,6.227567976733087e+71,0.0008435805592224781,8.800844591091803e-05
SUCFUMt,0.025954198473282442,8.473452835331306e-30,1.3977708575752125e+27,0.0007646776062964478,0.0006673281811389151
PPSB3,0.18931297709923664,8.473452835331306e-30,6.227567976733087e+71,0.0008699357414434782,8.800844591091803e-05
PPSB2,0.18854961832061068,8.473452835331306e-30,6.227567976733087e+71,0.0008435807903389454,8.800844591091803e-05
CHRPL,0.012213740458015267,8.473452835331306e-30,0.0,0.00014062045211305779,6.666879375262429e-05
34HPPOR,0.010687022900763359,8.473452835331306e-30,1.609508295391135e+59,0.0001613026667347781,4.377054140946017e-05
NO3R1,0.2152671755725191,8.627515614155489e-30,1.5466458124242274e-10,0.0003151080605597338,2.0660683402837094e-06
TPI,0.008396946564885497,8.473452835331306e-30,553679373683118.3,0.00020175764049427155,0.0018170803406332443
OGSAL,0.22213740458015266,8.473452835331306e-30,5.9302114867850833e+110,0.0008032413943044487,0.00021463998764624422
PRPPS,0.024427480916030534,8.473452835331306e-30,6.6410608727353776e+47,0.0005901125886759098,0.008486437154887205
HPPK2,0.015267175572519083,8.473452835331306e-30,2.4812524686646144e+30,0.0005180425582768199,3.548373495806006e-05
EMB,0.003816793893129771,8.473452835331306e-30,4.110723013172356e-05,0.000471365767734996,5.536077883921998e-05
ECHA20,0.19618320610687023,8.627515614155489e-30,0.0,0.0011339783942864764,0.0
PC11M,0.003816793893129771,8.549790248262208e-30,0.0,0.00022581925083369462,0.0
SULabc_rev,0.14274809160305343,8.473452835331306e-30,7.600556681828096e+66,0.0007032507297282745,2.3530136877644507e-05
FBA2,0.003816793893129771,7.747156878018449e-31,0.0,0.00016664747009426573,0.0
FBA,0.007633587786259542,8.473452835331306e-30,3.947045331394523e+28,0.00032332852465414826,7.582611134484019e-07
SULabc,0.14427480916030533,8.473452835331306e-30,1.5201113363656288e+67,0.0008144811758467445,0.0007404673130217648
RNDR3,0.21145038167938932,8.473452835331306e-30,1.0113239088575635e+35,0.00018952944051113123,0.00015897721208624996
RNDR2,0.22595419847328244,8.473452835331306e-30,1.3162334029999304e+35,0.000775202766394574,0.00015622916731490246
NO3t2,0.0,0.0,0.0,0.00013375100571644895,0.0
INHA13,0.14198473282442747,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.649777926962563e-05
FOLB5,0.0061068702290076335,8.549790248262208e-30,0.0,0.0002419479993380851,0.0
PDE1,0.11297709923664122,8.473452835331306e-30,6.664296104690525e+59,0.0005446707559188607,2.691154491732385e-06
DCTPD,0.11984732824427481,8.473452835331306e-30,8.629974218142308e+80,0.000477709783554802,1.794060068661554e-05
DHNPA2r,0.0030534351145038168,8.473452835331306e-30,1.8891094648321074e-05,0.0001977955933926206,4.916910674110553e-05
INHA12,0.14198473282442747,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.649777926962563e-05
FOLB3,0.0030534351145038168,8.473452835331306e-30,0.0007120405414074027,0.0002178492310788735,0.000761209648148509
DHNPTE,0.0022900763358778627,8.473452835331306e-30,0.0006538047282364489,0.0001977955933926206,0.0007182500632041905
MME,0.01984732824427481,8.473452835331306e-30,3.237141798113458e+76,0.0001567045647785148,0.0008326016723891234
PDHa,0.022137404580152672,8.473452835331306e-30,5.49899221981714e+59,0.00044895428540294807,5.536346518969008e-06
INHA10,0.14198473282442747,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.649777926962563e-05
DCPE,0.003816793893129771,8.473452835331306e-30,0.001223393113562288,0.0004062171320592929,0.0012702714858009816
PGCD,0.22290076335877862,8.473452835331306e-30,5.364861088220911e+88,0.0008239775103556207,0.00019218517321489687
ISPG,0.29770992366412213,8.473452835331306e-30,4.3486459425851444e+73,0.000777071386256101,0.00015718973184027953
MECDPS,0.0030534351145038168,8.473452835331306e-30,2.5367659289993323e-14,0.00015622925687575542,4.58577029262302e-06
CDPMEK,0.025190839694656488,8.473452835331306e-30,2.7788953621530994e+38,0.0004494784538131474,0.0006674704923636077
MEPCT,0.006870229007633588,8.473452835331306e-30,0.08456500853575674,0.00023178260282051964,1.1356219527795472e-05
FAS5,0.0633587786259542,8.473452835331306e-30,23329441561188.477,0.00024679704365784415,0.0007018524784731391
FAS4,0.09083969465648854,8.473452835331306e-30,1.0356937465470996e+85,0.0017996054589530523,8.144659748891954e-05
FAS7,0.10916030534351145,8.473452835331306e-30,5.21226344519835e+91,0.0007933452893066552,0.0007568547221908617
FAS6,0.008396946564885497,8.473452835331306e-30,0.0,0.0001364063590753129,6.715145300954306e-06
FAS1,0.33511450381679386,8.473452835331306e-30,1.564117366310456e+92,0.0008046782344355972,0.006851311919337707
UG6PGT,0.00916030534351145,8.473452835331306e-30,166.71721136303745,0.0020196824985014568,0.0006603799477199682
FAS3,0.33587786259541985,8.473452835331306e-30,5.2137245543681876e+91,0.0008085779810155204,0.00021036028759772698
FAS2,0.33587786259541985,8.473452835331306e-30,1.0427449108736375e+92,0.0008158484813493747,0.00021083727821556573
MCD,0.15114503816793892,8.473452835331306e-30,7.121647333382213e+86,0.0020878267415364504,0.029694314032269246
ACCC,0.11068702290076336,8.473452835331306e-30,1.623337547155317e+61,0.001731516041135714,1.3481140560462347e-06
ACCD3,0.04961832061068702,8.473452835331306e-30,1.0357140534702133e+85,0.0007276712309351046,0.00046254286520766683
FAS8,0.20916030534351146,8.473452835331306e-30,0.0,0.00016190478477409788,0.00015548333148465354
ADNK1,0.36717557251908395,8.473452835331306e-30,3.347023368283921e+105,0.011598947395329856,0.00042219311046433377
